table_name,ddl_rank,ddl_top1_table,ddl_top1,ddl_top3,ddl_top5,ddl_top15,doc_rank,doc_top1_table,doc_top1,doc_top3,doc_top5,doc_top15,interference,interference_tables,risk_level
ad_dict,2,wst_asset_type_dict,no,yes,yes,yes,1,ad_dict,yes,yes,yes,yes,yes,DDL:wst_asset_type_dict,medium
cf_auto_build_flag,1,cf_auto_build_flag,yes,yes,yes,yes,1,cf_auto_build_flag,yes,yes,yes,yes,no,,low
day_quality_records,1,day_quality_records,yes,yes,yes,yes,2,day_quality_setting,no,yes,yes,yes,yes,DOC:day_quality_setting,medium
day_quality_setting,2,day_quality_records,no,yes,yes,yes,1,day_quality_setting,yes,yes,yes,yes,yes,DDL:day_quality_records,medium
dc_survey_app,6,dc_survey_task_instance,no,no,no,yes,3,dc_survey_task_instance,no,yes,yes,yes,yes,DDL:dc_survey_task_instance | DOC:dc_survey_task_instance,high
dc_survey_info,1,dc_survey_info,yes,yes,yes,yes,6,dc_survey_task_instance,no,no,no,yes,yes,DOC:dc_survey_task_instance,high
dc_survey_offline_sync,1,dc_survey_offline_sync,yes,yes,yes,yes,1,dc_survey_offline_sync,yes,yes,yes,yes,no,,low
dc_survey_offline_upload,1,dc_survey_offline_upload,yes,yes,yes,yes,1,dc_survey_offline_upload,yes,yes,yes,yes,no,,low
dc_survey_task,4,dc_survey_task_instance,no,no,yes,yes,3,dc_survey_task_instance,no,yes,yes,yes,yes,DDL:dc_survey_task_instance | DOC:dc_survey_task_instance,medium
dc_survey_task_instance,1,dc_survey_task_instance,yes,yes,yes,yes,1,dc_survey_task_instance,yes,yes,yes,yes,no,,low
dc_survey_track,2,dc_survey_task_instance,no,yes,yes,yes,1,dc_survey_track,yes,yes,yes,yes,yes,DDL:dc_survey_task_instance,medium
gis_control_unit,1,gis_control_unit,yes,yes,yes,yes,1,gis_control_unit,yes,yes,yes,yes,no,,low
gis_ecologicalregion,1,gis_ecologicalregion,yes,yes,yes,yes,1,gis_ecologicalregion,yes,yes,yes,yes,no,,low
gis_headwaters,1,gis_headwaters,yes,yes,yes,yes,1,gis_headwaters,yes,yes,yes,yes,no,,low
gis_naturereserve,1,gis_naturereserve,yes,yes,yes,yes,1,gis_naturereserve,yes,yes,yes,yes,no,,low
gis_poi,1,gis_poi,yes,yes,yes,yes,1,gis_poi,yes,yes,yes,yes,no,,low
gis_region,7,gis_region_city,no,no,no,yes,6,gis_region_county,no,no,no,yes,yes,DDL:gis_region_city | DOC:gis_region_county,high
gis_region_city,1,gis_region_city,yes,yes,yes,yes,1,gis_region_city,yes,yes,yes,yes,no,,low
gis_region_county,1,gis_region_county,yes,yes,yes,yes,1,gis_region_county,yes,yes,yes,yes,no,,low
gis_region_population,2,gis_region_county,no,yes,yes,yes,3,gis_region_county,no,yes,yes,yes,yes,DDL:gis_region_county | DOC:gis_region_county,medium
gis_region_township,1,gis_region_township,yes,yes,yes,yes,1,gis_region_township,yes,yes,yes,yes,no,,low
gis_watershed_partition,3,gis_watershed_partition_3,no,yes,yes,yes,3,gis_watershed_partition_4,no,yes,yes,yes,yes,DDL:gis_watershed_partition_3 | DOC:gis_watershed_partition_4,medium
gis_watershed_partition_3,1,gis_watershed_partition_3,yes,yes,yes,yes,1,gis_watershed_partition_3,yes,yes,yes,yes,no,,low
gis_watershed_partition_4,2,gis_watershed_partition_3,no,yes,yes,yes,1,gis_watershed_partition_4,yes,yes,yes,yes,yes,DDL:gis_watershed_partition_3,medium
layer_boundary_enterprise,1,layer_boundary_enterprise,yes,yes,yes,yes,1,layer_boundary_enterprise,yes,yes,yes,yes,no,,low
layer_boundary_park,1,layer_boundary_park,yes,yes,yes,yes,1,layer_boundary_park,yes,yes,yes,yes,no,,low
layer_entity_process,1,layer_entity_process,yes,yes,yes,yes,1,layer_entity_process,yes,yes,yes,yes,no,,low
layer_entity_relation,1,layer_entity_relation,yes,yes,yes,yes,1,layer_entity_relation,yes,yes,yes,yes,no,,low
layer_industrial_ghysgw,1,layer_industrial_ghysgw,yes,yes,yes,yes,1,layer_industrial_ghysgw,yes,yes,yes,yes,no,,low
layer_industrial_lsf,1,layer_industrial_lsf,yes,yes,yes,yes,1,layer_industrial_lsf,yes,yes,yes,yes,no,,low
layer_industrial_xzysgw,1,layer_industrial_xzysgw,yes,yes,yes,yes,1,layer_industrial_xzysgw,yes,yes,yes,yes,no,,low
layer_industrial_yjf,1,layer_industrial_yjf,yes,yes,yes,yes,1,layer_industrial_yjf,yes,yes,yes,yes,no,,low
layer_industrial_yjsgc,1,layer_industrial_yjsgc,yes,yes,yes,yes,1,layer_industrial_yjsgc,yes,yes,yes,yes,no,,low
