object_type,schema_name,table_name,column_name,data_type,candidate_comment,suggested_decision,human_decision,sql_generated,risk_note
column,public,_stg_yichang_river_import,Nextdown,"numeric(18,0)",下游河流ID,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,MAINRIVID,"numeric(18,0)",干流ID,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Hydrocount,"numeric(18,0)",水文计数,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Rclass,"numeric(18,0)",河流类别编码,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Rlenth,"numeric(23,15)",河流长度,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Hydrolenth,"numeric(23,15)",水文计算长度,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Rcatch,"numeric(23,15)",汇水面积,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,TCatch,"numeric(23,15)",总汇水面积,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Rname,character varying(80),河流名称,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,Shape_Leng,"numeric(23,15)",要素长度,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,RiverID,"numeric(18,0)",河流ID,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,NameList,character varying(80),河流名称列表,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,SEG_ID,"numeric(18,0)",分段ID,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,LEN,"numeric(23,15)",分段长度,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,FROM_Z,"numeric(23,15)",起点高程,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,TO_Z,"numeric(23,15)",终点高程,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,STR_ORD,"numeric(18,0)",Strahler河流分级,suggest_approve,approve,yes,
column,public,_stg_yichang_river_import,SHR_ORD,"numeric(18,0)",Shreve河流分级,suggest_approve,approve,yes,
column,public,_stg_yichang_river_std,next_down,bigint,下游河流ID,suggest_approve,approve,yes,
column,public,_stg_yichang_river_std,river_class,text,河流类别,suggest_approve,approve,yes,
column,public,_stg_yichang_river_std,length_km,numeric,河流长度（公里）,suggest_approve,approve,yes,
column,public,_stg_yichang_river_std,from_z,numeric,起点高程,suggest_approve,approve,yes,
column,public,_stg_yichang_river_std,to_z,numeric,终点高程,suggest_approve,approve,yes,
column,public,gis_ecologicalregion,service_target,character varying(255),生态服务目标,suggest_approve,approve,yes,
column,public,gis_ecologicalregion,ecosystem_vegetation,character varying(255),生态系统植被概况,suggest_approve,approve,yes,
