schema_name,table_name,column_name,data_type,current_comment,candidate_comment,confidence,grade,evidence,source_rule,sample_hint,risk_reason
public,_stg_yichang_river_import,gid,integer,,地理要素唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_import,OBJECTID,"numeric(18,0)",,对象唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_import,geom,"geometry(MultiLineString,4326)",,空间几何数据,high,A_auto_safe,表域: staging; 来源: standard_geom_field,standard_geom_field,,
public,_stg_yichang_river_std,gid,integer,,地理要素唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_std,river_code,text,,河流编码,high,A_auto_safe,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,
public,_stg_yichang_river_std,river_name,text,,河流名称,high,A_auto_safe,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,
public,_stg_yichang_river_std,geom,"geometry(MultiLineString,4326)",,空间几何数据,high,A_auto_safe,表域: staging; 来源: standard_geom_field,standard_geom_field,,
public,ad_dict,create_time,timestamp without time zone,,创建时间,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,update_time,timestamp without time zone,,修改时间,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,del_flag,character(1),,删除标志：0-正常，1-已删除,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,create_by,bigint,,创建人,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,update_by,bigint,,修改人,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,gis_ecologicalregion,id,bigint,,主键ID,high,A_auto_safe,表域: gis; 来源: standard_id_field,standard_id_field,,
public,gis_ecologicalregion,ecological_region_name,character varying(255),,生态红线区域名称,high,A_auto_safe,表域: gis; 来源: domain_gis_ecologicalregion,domain_gis_ecologicalregion,,
public,gis_ecologicalregion,ecological_region_code,character varying(32),,生态红线区域编码,high,A_auto_safe,表域: gis; 来源: domain_gis_ecologicalregion,domain_gis_ecologicalregion,,
public,gis_ecologicalregion,address,character varying(255),,地址,high,A_auto_safe,表域: gis; 来源: standard_common_field,standard_common_field,,
