table_schema,table_name,column_name,proposed_comment,evidence_count,evidence_tables,verify_result,evidence_comment_verified,current_comment,sql_generated,status,reason
public,layer_outlet_sewage,jcdbh,监测点编号,2,"rs_pollutant_info, rs_wastewater_standard",pass,True,,True,generated,
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,day,日期,5,"stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df, stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df",pass,True,,True,generated,
public,wm_hydrological_info,build_time,建设时间,1,wm_station_info_v2,pass,True,,True,generated,
public,wm_meteorological_info,build_time,建设时间,1,wm_station_info_v2,pass,True,,True,generated,
public,wm_station_info,build_time,建设时间,1,wm_station_info_v2,pass,True,,True,generated,
public,wm_waterbody_info,img_name,照片名称,3,"wm_hydrological_info, wm_meteorological_info, wm_station_info",pass,True,,True,generated,
public,wst_asset_trace_snap,network_type,网络类型，例如 river=外部河网，park_pipe=园区管网，park_river=园区内部排污河流，mixed=混合衔接网络,2,"wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_layer_river,created_at,创建时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_layer_river,updated_at,更新时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_trace_topology_issue,created_by,创建人,6,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_trace_topology_issue,created_at,创建时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_trace_topology_issue,updated_by,更新人,6,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
public,wst_trace_topology_issue,updated_at,更新时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",pass,True,,True,generated,
