schema_name,table_name,column_name,data_type,candidate_comment,confidence,source_rule,evidence,sample_hint,risk_reason,suggested_decision,human_decision,review_note
public,_stg_yichang_river_import,Nextdown,"numeric(18,0)",下游河流ID,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,MAINRIVID,"numeric(18,0)",干流ID,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Hydrocount,"numeric(18,0)",水文计数,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Rclass,"numeric(18,0)",河流类别编码,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Rlenth,"numeric(23,15)",河流长度,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Hydrolenth,"numeric(23,15)",水文计算长度,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Rcatch,"numeric(23,15)",汇水面积,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,TCatch,"numeric(23,15)",总汇水面积,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Rname,character varying(80),河流名称,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,Shape_Leng,"numeric(23,15)",要素长度,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,RiverID,"numeric(18,0)",河流ID,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_approve,,导入表字段名英文含义明确（如 RiverID/Shape_Leng 等），注释合理
public,_stg_yichang_river_import,RclassDISP,"numeric(18,0)",河流类别显示编码,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_hold,,导入表缩写字段，需确认语义
public,_stg_yichang_river_import,OSMratio,"numeric(23,15)",OSM匹配比例,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_hold,,导入表缩写字段，需确认语义
public,_stg_yichang_river_import,GRITratio,"numeric(23,15)",GRIT匹配比例,medium,domain_staging_river_import,表域: staging; 来源: domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认,suggest_hold,,导入表缩写字段，需确认语义
