column_name,distinct_comment_count,involved_comments,involved_tables,risk_level,recommendation,note
adcd,2,所属行政区划编码 ||| 行政区划编码,"stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_bas_base_df, stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
address,5,地址 ||| 污染源地址 ||| 详细地址 ||| 摄像头地址 ||| 水源口地址,"gis_poi, rs_enterprise_info_lsg, rs_enterprise_info_wade, rs_outlet_trace_v2, stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df, wm_camera_info, wm_water_source_bak0421, wst_asset",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
anchorage_id,2,锚地id ||| 关联接收区域id,"stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
anchorage_name,2,锚地名称 ||| 锚地名,"stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
apply_no,3,接受申请号 ||| 上岸申请编号 ||| 申请单号,"stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_receive_storage_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
apply_szy_status,2,申请szy单状态  收转运 ||| 是否申请了szy单 0：未申请 1：已申请,"stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df, stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
area,9,面积（km2） ||| 面积：平方千米 ||| 面积：平方米 ||| 面积 ||| 省 ||| 省，市，区 ||| 县市区 ||| 面积（单位：平方千米） ||| 水体面积（km2）,"gis_control_unit, gis_watershed_partition, gis_watershed_partition_3, gis_watershed_partition_4, layer_partition_2, layer_partition_3, stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df, stg_ycsjtysj_sxhyzssj_base_channel_level_df, wm_water_source_zone_v2, wm_waterbody_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
asset_type,2,资产类型，例如 national_section、provincial_section、auto_station、outfall、water_enterprise、chemical_park、wwtp、water_intake、camera、accident_pool、park_pipe、park_river ||| 资产类型编码，例如 national_section、auto_station、outfall、water_enterprise、chemical_park、camera,"wst_asset, wst_asset_type_dict",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
basin,2,所属流域 ||| 流域,"gis_control_unit, gis_watershed_partition_3, gis_watershed_partition_4",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
basin_code,2,所属流域编码 ||| 流域编码,"wst_asset, wst_control_zone",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
build_state,2,"建站状态(待建0,已建1) ||| 建站状态：0-待建、1-已建","wm_hydrological_info, wm_meteorological_info, wm_station_info, wm_station_info_v2",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
business_scope,2,经营范围:生活垃圾、生活污水、油污水 ||| 业务范围,"stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
cache_id,3,缓存ID：APP端维护，用于关联提交数据 ||| 缓存ID：与离线同步任务的cacheId对应，用于批量文件管理 ||| 本地缓存ID：APP端维护,"dc_survey_offline_sync, dc_survey_offline_upload, dc_survey_task",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
captain_phone,2,船长电话 ||| 船长联系方式,"stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
car_num,2,车牌号 ||| 转运车牌号,"stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df, stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
