table_schema,table_name,column_name,decision,proposed_comment,evidence_tables,source_candidate_exists,target_in_main_tables,evidence_all_in_main_tables,target_not_excluded,evidence_not_excluded,evidence_comment_verified,subset_file_consistent,verify_result,problems
public,gis_region_population,region_id,needs_manual,所属区域id,wm_section_info,True,True,True,True,True,N/A,consistent,pass,
public,gis_region_population,year,needs_manual,年份,"rs_livestock_info_yc, wm_section_wq_info",True,True,True,True,True,N/A,consistent,pass,
public,layer_outlet_sewage,jcdbh,approved,监测点编号,"rs_pollutant_info, rs_wastewater_standard",True,True,True,True,True,True,consistent,pass,
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,day,approved,日期,"stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df, stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df",True,True,True,True,True,True,consistent,pass,
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,cjsj,needs_manual,创建时间,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,True,True,True,True,True,N/A,consistent,pass,
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,xgsj,needs_manual,修改时间,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,True,True,True,True,True,N/A,consistent,pass,
public,wm_hydrological_info,build_time,approved,建设时间,wm_station_info_v2,True,True,True,True,True,True,consistent,pass,
public,wm_meteorological_info,build_time,approved,建设时间,wm_station_info_v2,True,True,True,True,True,True,consistent,pass,
public,wm_raster_inversion_config,type_code,rejected,关系大类编码，例如 ownership、discharge、monitoring,wst_relation_type_dict,True,True,True,True,True,N/A,consistent,pass,
public,wm_station_info,build_time,approved,建设时间,wm_station_info_v2,True,True,True,True,True,True,consistent,pass,
public,wm_waterbody_info,water_body_name,needs_manual,水体名称,wm_station_info_v2,True,True,True,True,True,N/A,consistent,pass,
public,wm_waterbody_info,img_name,approved,照片名称,"wm_hydrological_info, wm_meteorological_info, wm_station_info",True,True,True,True,True,True,consistent,pass,
public,wst_asset_trace_snap,network_type,approved,网络类型，例如 river=外部河网，park_pipe=园区管网，park_river=园区内部排污河流，mixed=混合衔接网络,"wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_layer_river,created_at,approved,创建时间,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_layer_river,updated_at,approved,更新时间,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_trace_node,asset_id,needs_manual,资产ID，关联 wst_asset.id,wst_asset_trace_snap,True,True,True,True,True,N/A,consistent,pass,
public,wst_trace_topology_issue,object_code,rejected,监控对象编码,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df,True,True,True,True,True,N/A,consistent,pass,
public,wst_trace_topology_issue,created_by,approved,创建人,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_trace_topology_issue,created_at,approved,创建时间,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_trace_topology_issue,updated_by,approved,更新人,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
public,wst_trace_topology_issue,updated_at,approved,更新时间,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",True,True,True,True,True,True,consistent,pass,
