object_type,schema_name,table_name,column_name,candidate_comment,had_comment_before,execution_status
table,public,gis_control_unit,,水环境管控单元表,(EMPTY),SUCCESS
table,public,gis_ecologicalregion,,生态保护红线区域表,(EMPTY),SUCCESS
table,public,gis_headwaters,,水源地表,(EMPTY),SUCCESS
table,public,gis_naturereserve,,自然保护区表,(EMPTY),SUCCESS
table,public,gis_region_city,,城市行政区划表,(EMPTY),SUCCESS
table,public,gis_region_population,,行政区人口统计表,(EMPTY),SUCCESS
table,public,gis_watershed_partition_3,,三级流域分区表,(EMPTY),SUCCESS
table,public,gis_watershed_partition_4,,四级流域分区表,(EMPTY),SUCCESS
table,public,layer_river_provincial,,省级河流空间表,(EMPTY),SUCCESS
table,public,wm_raster_info,,遥感影像栅格信息表,(EMPTY),SUCCESS
table,public,wm_raster_inversion_config,,遥感反演配置表,(EMPTY),SUCCESS
table,public,wst_layer_river,,溯源图层河流表,(EMPTY),SUCCESS
table,public,wst_trace_topology_issue,,溯源拓扑问题记录表,(EMPTY),SUCCESS
column,public,_stg_yichang_river_import,gid,地理要素唯一标识,(EMPTY),SUCCESS
column,public,_stg_yichang_river_import,OBJECTID,对象唯一标识,(EMPTY),SUCCESS
column,public,_stg_yichang_river_import,geom,空间几何数据,(EMPTY),SUCCESS
column,public,_stg_yichang_river_std,gid,地理要素唯一标识,(EMPTY),SUCCESS
column,public,_stg_yichang_river_std,river_code,河流编码,(EMPTY),SUCCESS
column,public,_stg_yichang_river_std,river_name,河流名称,(EMPTY),SUCCESS
column,public,_stg_yichang_river_std,geom,空间几何数据,(EMPTY),SUCCESS
column,public,ad_dict,create_time,创建时间,(EMPTY),SUCCESS
column,public,ad_dict,update_time,修改时间,(EMPTY),SUCCESS
column,public,ad_dict,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,ad_dict,create_by,创建人,(EMPTY),SUCCESS
column,public,ad_dict,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,id,主键ID,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,ecological_region_name,生态红线区域名称,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,ecological_region_code,生态红线区域编码,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,address,地址,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,population,人口数量,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,type,类型,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,remark,备注,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,create_by,创建人,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,create_time,创建时间,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,update_time,修改时间,(EMPTY),SUCCESS
column,public,gis_ecologicalregion,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,gis_headwaters,id,主键ID,(EMPTY),SUCCESS
column,public,gis_headwaters,headwaters_name,水源地名称,(EMPTY),SUCCESS
column,public,gis_headwaters,headwaters_code,水源地编码,(EMPTY),SUCCESS
column,public,gis_headwaters,address,地址,(EMPTY),SUCCESS
column,public,gis_headwaters,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_headwaters,level,级别,(EMPTY),SUCCESS
column,public,gis_headwaters,type,类型,(EMPTY),SUCCESS
column,public,gis_headwaters,remark,备注,(EMPTY),SUCCESS
column,public,gis_headwaters,create_by,创建人,(EMPTY),SUCCESS
column,public,gis_headwaters,create_time,创建时间,(EMPTY),SUCCESS
column,public,gis_headwaters,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_headwaters,update_time,修改时间,(EMPTY),SUCCESS
column,public,gis_headwaters,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,gis_naturereserve,id,主键ID,(EMPTY),SUCCESS
column,public,gis_naturereserve,nature_reserve_name,自然保护区名称,(EMPTY),SUCCESS
column,public,gis_naturereserve,nature_reserve_code,自然保护区编码,(EMPTY),SUCCESS
column,public,gis_naturereserve,address,地址,(EMPTY),SUCCESS
column,public,gis_naturereserve,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_naturereserve,type,类型,(EMPTY),SUCCESS
column,public,gis_naturereserve,level,级别,(EMPTY),SUCCESS
column,public,gis_naturereserve,population,人口数量,(EMPTY),SUCCESS
column,public,gis_naturereserve,create_by,创建人,(EMPTY),SUCCESS
column,public,gis_naturereserve,create_time,创建时间,(EMPTY),SUCCESS
column,public,gis_naturereserve,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_naturereserve,update_time,修改时间,(EMPTY),SUCCESS
column,public,gis_naturereserve,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,gis_poi,create_time,创建时间,(EMPTY),SUCCESS
column,public,gis_poi,update_time,修改时间,(EMPTY),SUCCESS
column,public,gis_poi,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,gis_poi,create_by,创建人,(EMPTY),SUCCESS
column,public,gis_poi,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_region,region_code,行政区划编码,(EMPTY),SUCCESS
column,public,gis_region,region_name,行政区划名称,(EMPTY),SUCCESS
column,public,gis_region,control_unit_id,管控单元ID,(EMPTY),SUCCESS
column,public,gis_region,code,编码,(EMPTY),SUCCESS
column,public,gis_region,address,地址,(EMPTY),SUCCESS
column,public,gis_region,remark,备注,(EMPTY),SUCCESS
column,public,gis_region_city,id,主键ID,(EMPTY),SUCCESS
column,public,gis_region_city,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_region_county,id,主键ID,(EMPTY),SUCCESS
column,public,gis_region_county,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_region_population,id,主键ID,(EMPTY),SUCCESS
column,public,gis_region_population,region_id,区域ID,(EMPTY),SUCCESS
column,public,gis_region_population,year,年份,(EMPTY),SUCCESS
