table_name,column_name,candidate_comment,had_comment_before,execution_status
_stg_yichang_river_import,Nextdown,下游河流ID,(EMPTY),SUCCESS
_stg_yichang_river_import,MAINRIVID,干流ID,(EMPTY),SUCCESS
_stg_yichang_river_import,Hydrocount,水文计数,(EMPTY),SUCCESS
_stg_yichang_river_import,Rclass,河流类别编码,(EMPTY),SUCCESS
_stg_yichang_river_import,Rlenth,河流长度,(EMPTY),SUCCESS
_stg_yichang_river_import,Hydrolenth,水文计算长度,(EMPTY),SUCCESS
_stg_yichang_river_import,Rcatch,汇水面积,(EMPTY),SUCCESS
_stg_yichang_river_import,TCatch,总汇水面积,(EMPTY),SUCCESS
_stg_yichang_river_import,Rname,河流名称,(EMPTY),SUCCESS
_stg_yichang_river_import,Shape_Leng,要素长度,(EMPTY),SUCCESS
_stg_yichang_river_import,RiverID,河流ID,(EMPTY),SUCCESS
_stg_yichang_river_import,NameList,河流名称列表,(EMPTY),SUCCESS
_stg_yichang_river_import,SEG_ID,分段ID,(EMPTY),SUCCESS
_stg_yichang_river_import,LEN,分段长度,(EMPTY),SUCCESS
_stg_yichang_river_import,FROM_Z,起点高程,(EMPTY),SUCCESS
_stg_yichang_river_import,TO_Z,终点高程,(EMPTY),SUCCESS
_stg_yichang_river_import,STR_ORD,Strahler河流分级,(EMPTY),SUCCESS
_stg_yichang_river_import,SHR_ORD,Shreve河流分级,(EMPTY),SUCCESS
_stg_yichang_river_std,next_down,下游河流ID,(EMPTY),SUCCESS
_stg_yichang_river_std,river_class,河流类别,(EMPTY),SUCCESS
_stg_yichang_river_std,length_km,河流长度（公里）,(EMPTY),SUCCESS
_stg_yichang_river_std,from_z,起点高程,(EMPTY),SUCCESS
_stg_yichang_river_std,to_z,终点高程,(EMPTY),SUCCESS
gis_ecologicalregion,service_target,生态服务目标,(EMPTY),SUCCESS
gis_ecologicalregion,ecosystem_vegetation,生态系统植被概况,(EMPTY),SUCCESS
gis_ecologicalregion,human_activities,人类活动影响描述,(EMPTY),SUCCESS
gis_ecologicalregion,environment_problems,生态环境问题描述,(EMPTY),SUCCESS
gis_ecologicalregion,control_measures,管控措施描述,(EMPTY),SUCCESS
gis_headwaters,water_intake_quantity,年取水量,(EMPTY),SUCCESS
gis_headwaters,water_supply_population,供水人口数,(EMPTY),SUCCESS
gis_headwaters,is_protect_region,是否在保护区范围内,(EMPTY),SUCCESS
gis_naturereserve,department,主管部门,(EMPTY),SUCCESS
gis_naturereserve,protect_target,主要保护对象,(EMPTY),SUCCESS
gis_naturereserve,manage_org_name,管理机构名称,(EMPTY),SUCCESS
gis_naturereserve,manage_org_type,管理机构类型,(EMPTY),SUCCESS
gis_naturereserve,manage_org_level,管理机构级别,(EMPTY),SUCCESS
gis_naturereserve,first_protect_animals,国家一级保护动物,(EMPTY),SUCCESS
gis_naturereserve,second_protect_animals,国家二级保护动物,(EMPTY),SUCCESS
gis_naturereserve,first_protect_plants,国家一级保护植物,(EMPTY),SUCCESS
gis_naturereserve,second_protect_plants,国家二级保护植物,(EMPTY),SUCCESS
gis_region,region_level,区划级别,(EMPTY),SUCCESS
gis_region,parent_code,父级区划编码,(EMPTY),SUCCESS
gis_region_population,city_population,城镇人口,(EMPTY),SUCCESS
gis_region_population,city_area,城镇面积,(EMPTY),SUCCESS
gis_region_population,city_quantity,城镇数量,(EMPTY),SUCCESS
gis_region_population,rural_population,农村人口,(EMPTY),SUCCESS
gis_region_population,rural_area,农村面积,(EMPTY),SUCCESS
gis_region_population,rural_quantity,农村数量,(EMPTY),SUCCESS
gis_watershed_partition_4,poly_area,多边形面积,(EMPTY),SUCCESS
layer_reservoir_provincial,cc,行政区划编码,(EMPTY),SUCCESS
layer_reservoir_provincial,gb,国标编码,(EMPTY),SUCCESS
layer_reservoir_provincial,bas,流域编码,(EMPTY),SUCCESS
layer_reservoir_provincial,period,时期/阶段,(EMPTY),SUCCESS
layer_reservoir_provincial,wq,水质类别,(EMPTY),SUCCESS
layer_reservoir_provincial,aheight,坝高,(EMPTY),SUCCESS
layer_reservoir_provincial,parea,永久占地面积,(EMPTY),SUCCESS
layer_reservoir_provincial,ec,生态分区编码,(EMPTY),SUCCESS
layer_reservoir_provincial,grade,等级/级别,(EMPTY),SUCCESS
layer_reservoir_provincial,mheight,最大坝高,(EMPTY),SUCCESS
layer_reservoir_provincial,sdtf,水系特征码,(EMPTY),SUCCESS
layer_reservoir_provincial,shrc,所属河湖编码,(EMPTY),SUCCESS
layer_reservoir_provincial,vol,库容,(EMPTY),SUCCESS
layer_reservoir_provincial,featid,要素唯一标识,(EMPTY),SUCCESS
layer_reservoir_provincial,areacode,行政区划代码,(EMPTY),SUCCESS
layer_reservoir_provincial,changetype,变更类型,(EMPTY),SUCCESS
layer_reservoir_provincial,shape_leng,要素长度,(EMPTY),SUCCESS
layer_reservoir_provincial,shape_area,要素面积,(EMPTY),SUCCESS
layer_reservoir_provincial_label,cc,行政区划编码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,gb,国标编码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,bas,流域编码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,period,时期/阶段,(EMPTY),SUCCESS
layer_reservoir_provincial_label,wq,水质类别,(EMPTY),SUCCESS
layer_reservoir_provincial_label,aheight,坝高,(EMPTY),SUCCESS
layer_reservoir_provincial_label,parea,永久占地面积,(EMPTY),SUCCESS
layer_reservoir_provincial_label,ec,生态分区编码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,grade,等级/级别,(EMPTY),SUCCESS
layer_reservoir_provincial_label,mheight,最大坝高,(EMPTY),SUCCESS
layer_reservoir_provincial_label,sdtf,水系特征码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,shrc,所属河湖编码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,vol,库容,(EMPTY),SUCCESS
layer_reservoir_provincial_label,featid,要素唯一标识,(EMPTY),SUCCESS
layer_reservoir_provincial_label,areacode,行政区划代码,(EMPTY),SUCCESS
layer_reservoir_provincial_label,changetype,变更类型,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,cc,行政区划编码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,gb,国标编码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,bas,流域编码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,period,时期/阶段,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,wq,水质类别,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,aheight,坝高,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,parea,永久占地面积,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,ec,生态分区编码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,grade,等级/级别,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,mheight,最大坝高,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,sdtf,水系特征码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,shrc,所属河湖编码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,vol,库容,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,featid,要素唯一标识,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,areacode,行政区划代码,(EMPTY),SUCCESS
layer_reservoir_provincial_合并,changetype,变更类型,(EMPTY),SUCCESS
layer_river_provincial,cc,行政区划编码,(EMPTY),SUCCESS
layer_river_provincial,gb,国标编码,(EMPTY),SUCCESS
layer_river_provincial,bas,流域编码,(EMPTY),SUCCESS
layer_river_provincial,ec,生态分区编码,(EMPTY),SUCCESS
layer_river_provincial,grade,等级/级别,(EMPTY),SUCCESS
layer_river_provincial,period,时期/阶段,(EMPTY),SUCCESS
layer_river_provincial,shrc,所属河湖编码,(EMPTY),SUCCESS
layer_river_provincial,sdtf,水系特征码,(EMPTY),SUCCESS
layer_river_provincial,featid,要素唯一标识,(EMPTY),SUCCESS
layer_river_provincial,areacode,行政区划代码,(EMPTY),SUCCESS
layer_river_provincial,changetype,变更类型,(EMPTY),SUCCESS
layer_river_provincial_bak0617,cc,行政区划编码,(EMPTY),SUCCESS
