rule_id,description,status,detail
C1,batch_001_review_template.csv 行数 > 0,PASS,actual 10
C2,batch_001 只包含 high priority 表,PASS,
C3,batch_001 不包含 medium 表,PASS,
C4,batch_001 不包含 low 表,PASS,
C5,batch_001 不包含 conflict_warning 字段,PASS,found 0
C6,batch_001 不包含 exclusion_list 字段,PASS,found 0
C7,review_decision 全部为空,PASS,found 0 non-empty
C8,review_note 全部为空,PASS,found 0 non-empty
C9,column_comment 与 safe_candidate_field_review_template.csv 完全一致,PASS,
C10,table_comment 与 safe_candidate_field_review_template.csv 完全一致,PASS,
C11,mismatch = 0,PASS,total mismatch=0
C12,missing_source = 0,PASS,found 0
C13,未训练 Vanna（人工确认）,PASS,
C14,未写入 vanna_data / agent_data（人工确认）,PASS,
C15,未修改数据库（人工确认）,PASS,
C16,未修改项目代码（人工确认）,PASS,
