table_schema,table_name,table_comment,column_count,commented_column_count,missing_comment_count,comment_coverage_ratio,table_prefix
public,_stg_yichang_river_counts,,5,0,5,0.0%,_stg
public,_stg_yichang_river_import,,27,0,27,0.0%,_stg
public,_stg_yichang_river_std,,10,0,10,0.0%,_stg
public,ad_dict,数据字典,14,9,5,64.3%,ad_dict
public,cf_auto_build_flag,主键id,7,7,0,100.0%,cf_auto
public,day_quality_records,日质控数据,25,25,0,100.0%,day_quality
public,day_quality_setting,日质控设置,13,10,3,76.9%,day_quality
public,dc_survey_app,APP安装包版本管理表,11,11,0,100.0%,dc_survey
public,dc_survey_info,巡回调查-调查后的核查信息,23,23,0,100.0%,dc_survey
public,dc_survey_offline_sync,离线同步任务表,14,14,0,100.0%,dc_survey
public,dc_survey_offline_upload,文件上传缓存表 - 支持断点续传和本地文件缓存,16,16,0,100.0%,dc_survey
public,dc_survey_task,巡查任务表,18,18,0,100.0%,dc_survey
public,dc_survey_task_instance,任务实例：记录轨迹、点位的添加,6,6,0,100.0%,dc_survey
public,dc_survey_track,巡查轨迹记录表,9,9,0,100.0%,dc_survey
public,gis_control_unit,,12,12,0,100.0%,gis_control
public,gis_ecologicalregion,,19,0,19,0.0%,gis_ecologicalregion
public,gis_headwaters,,16,0,16,0.0%,gis_headwaters
public,gis_naturereserve,,25,0,25,0.0%,gis_naturereserve
public,gis_poi,主键id,17,12,5,70.6%,gis_poi
public,gis_region,区县数据表,14,6,8,42.9%,gis_region
public,gis_region_city,,4,2,2,50.0%,gis_region
public,gis_region_county,行政区-区县,5,3,2,60.0%,gis_region
public,gis_region_population,,14,0,14,0.0%,gis_region
public,gis_region_township,行政区划-乡镇,6,4,2,66.7%,gis_region
public,gis_watershed_partition,空间-流域分区数据,13,12,1,92.3%,gis_watershed
public,gis_watershed_partition_3,,5,3,2,60.0%,gis_watershed
public,gis_watershed_partition_4,,11,5,6,45.5%,gis_watershed
public,layer_boundary_enterprise,工业园区-企业边界,4,0,4,0.0%,layer_boundary
public,layer_boundary_park,工业园区-园区边界,7,3,4,42.9%,layer_boundary
public,layer_entity_process,溯源关系查询流程：使用到的图层信息,9,9,0,100.0%,layer_entity
public,layer_entity_relation,图层-要素关联关系表,8,8,0,100.0%,layer_entity
public,layer_industrial_ghysgw,工业园区-规划雨水管网,4,0,4,0.0%,layer_industrial
public,layer_industrial_lsf,工业园区-园区临时闸阀,4,0,4,0.0%,layer_industrial
public,layer_industrial_xzysgw,工业园区-现状雨水管网,4,0,4,0.0%,layer_industrial
public,layer_industrial_yjf,工业园区-园区永久闸阀,4,0,4,0.0%,layer_industrial
public,layer_industrial_yjsgc,工业园区-应急事故池,6,0,6,0.0%,layer_industrial
public,layer_industrial_ysc,工业园区-雨水池,6,0,6,0.0%,layer_industrial
public,layer_outlet_sewage,工业园区-污水排放口,7,1,6,14.3%,layer_outlet
public,layer_partition_2,二级分区,5,3,2,60.0%,layer_partition
