table_name,ddl_file,columns_in_ddl,has_create_table,has_ddl_not_available
ad_dict,ad_dict.sql,14,yes,no
cf_auto_build_flag,cf_auto_build_flag.sql,7,yes,no
day_quality_records,day_quality_records.sql,25,yes,no
day_quality_setting,day_quality_setting.sql,10,yes,no
dc_survey_app,dc_survey_app.sql,11,yes,no
dc_survey_info,dc_survey_info.sql,23,yes,no
dc_survey_offline_sync,dc_survey_offline_sync.sql,14,yes,no
dc_survey_offline_upload,dc_survey_offline_upload.sql,16,yes,no
dc_survey_task,dc_survey_task.sql,18,yes,no
dc_survey_task_instance,dc_survey_task_instance.sql,6,yes,no
dc_survey_track,dc_survey_track.sql,9,yes,no
gis_control_unit,gis_control_unit.sql,12,yes,no
gis_ecologicalregion,gis_ecologicalregion.sql,18,yes,no
gis_headwaters,gis_headwaters.sql,16,yes,no
gis_naturereserve,gis_naturereserve.sql,22,yes,no
gis_poi,gis_poi.sql,17,yes,no
gis_region,gis_region.sql,14,yes,no
gis_region_city,gis_region_city.sql,4,yes,no
gis_region_county,gis_region_county.sql,5,yes,no
gis_region_population,gis_region_population.sql,14,yes,no
gis_region_township,gis_region_township.sql,6,yes,no
gis_watershed_partition,gis_watershed_partition.sql,13,yes,no
gis_watershed_partition_3,gis_watershed_partition_3.sql,5,yes,no
gis_watershed_partition_4,gis_watershed_partition_4.sql,8,yes,no
layer_boundary_enterprise,layer_boundary_enterprise.sql,4,yes,no
layer_boundary_park,layer_boundary_park.sql,7,yes,no
layer_entity_process,layer_entity_process.sql,9,yes,no
layer_entity_relation,layer_entity_relation.sql,8,yes,no
layer_industrial_ghysgw,layer_industrial_ghysgw.sql,4,yes,no
layer_industrial_lsf,layer_industrial_lsf.sql,4,yes,no
layer_industrial_xzysgw,layer_industrial_xzysgw.sql,4,yes,no
layer_industrial_yjf,layer_industrial_yjf.sql,4,yes,no
layer_industrial_yjsgc,layer_industrial_yjsgc.sql,6,yes,no
layer_industrial_ysc,layer_industrial_ysc.sql,6,yes,no
layer_outlet_sewage,layer_outlet_sewage.sql,7,yes,no
layer_partition_2,layer_partition_2.sql,5,yes,no
layer_partition_3,layer_partition_3.sql,6,yes,no
layer_reservoir_provincial,layer_reservoir_provincial.sql,24,yes,no
layer_reservoir_provincial_label,layer_reservoir_provincial_label.sql,21,yes,no
layer_reservoir_provincial_合并,layer_reservoir_provincial_合并.sql,21,yes,no
layer_river_provincial,layer_river_provincial.sql,17,yes,no
layer_section,layer_section.sql,6,yes,no
layer_watershed,layer_watershed.sql,4,yes,no
metadata_view,metadata_view.sql,9,yes,no
min_value_setting,min_value_setting.sql,8,yes,no
rs_enterprise_info_lsg,rs_enterprise_info_lsg.sql,22,yes,no
rs_enterprise_info_wade,rs_enterprise_info_wade.sql,16,yes,no
rs_industrial_info_yc,rs_industrial_info_yc.sql,66,yes,no
rs_livestock_info_yc,rs_livestock_info_yc.sql,68,yes,no
rs_outlet,rs_outlet.sql,105,yes,no
rs_outlet_info_v2,rs_outlet_info_v2.sql,30,yes,no
rs_outlet_live_v2,rs_outlet_live_v2.sql,14,yes,no
rs_outlet_monitor_v2,rs_outlet_monitor_v2.sql,19,yes,no
rs_outlet_remediation_v2,rs_outlet_remediation_v2.sql,14,yes,no
rs_outlet_trace_v2,rs_outlet_trace_v2.sql,23,yes,no
rs_pollutant_enterprise,rs_pollutant_enterprise.sql,27,yes,no
rs_pollutant_info,rs_pollutant_info.sql,21,yes,no
rs_sewage_info_v2,rs_sewage_info_v2.sql,64,yes,no
rs_sewage_info_yc,rs_sewage_info_yc.sql,17,yes,no
rs_sewage_park_info,rs_sewage_park_info.sql,18,yes,no
rs_warn_records,rs_warn_records.sql,25,yes,no
rs_wastewater_day_records,rs_wastewater_day_records.sql,59,yes,no
rs_wastewater_hour_records,rs_wastewater_hour_records.sql,57,yes,no
rs_wastewater_month_records,rs_wastewater_month_records.sql,62,yes,no
rs_wastewater_standard,rs_wastewater_standard.sql,15,yes,no
se_watershed,se_watershed.sql,14,yes,no
se_watershed_river,se_watershed_river.sql,26,yes,no
wh_hydrological_day_records,wh_hydrological_day_records.sql,29,yes,no
wh_hydrological_hour_records,wh_hydrological_hour_records.sql,19,yes,no
wh_hydrological_records_1,wh_hydrological_records_1.sql,11,yes,no
wh_meteorological_day_records,wh_meteorological_day_records.sql,42,yes,no
wh_meteorological_hour_records,wh_meteorological_hour_records.sql,24,yes,no
wh_meteorological_predict_day_records,wh_meteorological_predict_day_records.sql,40,yes,no
wh_meteorological_predict_hour_records,wh_meteorological_predict_hour_records.sql,41,yes,no
wh_meteorological_records_1,wh_meteorological_records_1.sql,11,yes,no
wm_camera_info,wm_camera_info.sql,16,yes,no
wm_camera_platform,wm_camera_platform.sql,21,yes,no
wm_directory,wm_directory.sql,10,yes,no
wm_hydrological_info,wm_hydrological_info.sql,40,yes,no
wm_image_info,wm_image_info.sql,12,yes,no
wm_meteorological_info,wm_meteorological_info.sql,40,yes,no
wm_panorama_layer,wm_panorama_layer.sql,11,yes,no
wm_panorama_layer_relation,wm_panorama_layer_relation.sql,7,yes,no
wm_panorama_video,wm_panorama_video.sql,9,yes,no
wm_raster_info,wm_raster_info.sql,14,yes,no
wm_raster_inversion,wm_raster_inversion.sql,18,yes,no
wm_raster_inversion_config,wm_raster_inversion_config.sql,6,yes,no
wm_section_info,wm_section_info.sql,26,yes,no
wm_section_wq_info,wm_section_wq_info.sql,10,yes,no
wm_station_info,wm_station_info.sql,47,yes,no
wm_station_info_v2,wm_station_info_v2.sql,31,yes,no
wm_uav_info,wm_uav_info.sql,39,yes,no
wm_water_intake,wm_water_intake.sql,14,yes,no
wm_water_source,wm_water_source.sql,36,yes,no
wm_water_source_intake_v2,wm_water_source_intake_v2.sql,22,yes,no
wm_water_source_zone_v2,wm_water_source_zone_v2.sql,19,yes,no
wm_waterbody_info,wm_waterbody_info.sql,26,yes,no
wm_waterquality_day_records,wm_waterquality_day_records.sql,72,yes,no
wm_waterquality_hour_records,wm_waterquality_hour_records.sql,82,yes,no
wm_waterquality_month_records,wm_waterquality_month_records.sql,77,yes,no
wm_waterquality_threshold,wm_waterquality_threshold.sql,38,yes,no
wm_waterquality_year_records,wm_waterquality_year_records.sql,71,yes,no
wst_asset,wst_asset.sql,26,yes,no
wst_asset_relation,wst_asset_relation.sql,11,yes,no
wst_asset_trace_snap,wst_asset_trace_snap.sql,27,yes,no
wst_asset_type_dict,wst_asset_type_dict.sql,22,yes,no
wst_control_zone,wst_control_zone.sql,19,yes,no
wst_layer_river,wst_layer_river.sql,11,yes,no
wst_relation_subtype_dict,wst_relation_subtype_dict.sql,19,yes,no
wst_relation_type_dict,wst_relation_type_dict.sql,8,yes,no
wst_trace_edge,wst_trace_edge.sql,36,yes,no
wst_trace_node,wst_trace_node.sql,25,yes,no
wst_trace_topology_issue,wst_trace_topology_issue.sql,18,yes,no
wt_service_directory,wt_service_directory.sql,25,yes,no
wt_warnparm_config,wt_warnparm_config.sql,21,yes,no
