schema_name,table_name,table_comment
public,_stg_yichang_river_counts,
public,_stg_yichang_river_import,
public,_stg_yichang_river_std,
public,ad_dict,数据字典
public,cf_auto_build_flag,主键id
public,day_quality_records,日质控数据
public,day_quality_setting,日质控设置
public,dc_survey_app,APP安装包版本管理表
public,dc_survey_info,巡回调查-调查后的核查信息
public,dc_survey_offline_sync,离线同步任务表
public,dc_survey_offline_upload,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_task,巡查任务表
public,dc_survey_task_instance,任务实例：记录轨迹、点位的添加
public,dc_survey_track,巡查轨迹记录表
public,gis_control_unit,水环境管控单元表
public,gis_ecologicalregion,生态保护红线区域表
public,gis_headwaters,水源地表
public,gis_naturereserve,自然保护区表
public,gis_poi,主键id
public,gis_region,区县数据表
public,gis_region_city,城市行政区划表
public,gis_region_county,行政区-区县
public,gis_region_population,行政区人口统计表
public,gis_region_township,行政区划-乡镇
public,gis_watershed_partition,空间-流域分区数据
public,gis_watershed_partition_3,三级流域分区表
public,gis_watershed_partition_4,四级流域分区表
public,layer_boundary_enterprise,工业园区-企业边界
public,layer_boundary_park,工业园区-园区边界
public,layer_entity_process,溯源关系查询流程：使用到的图层信息
public,layer_entity_relation,图层-要素关联关系表
public,layer_industrial_ghysgw,工业园区-规划雨水管网
public,layer_industrial_lsf,工业园区-园区临时闸阀
public,layer_industrial_xzysgw,工业园区-现状雨水管网
public,layer_industrial_yjf,工业园区-园区永久闸阀
public,layer_industrial_yjsgc,工业园区-应急事故池
public,layer_industrial_ysc,工业园区-雨水池
public,layer_outlet_sewage,工业园区-污水排放口
public,layer_partition_2,二级分区
public,layer_partition_3,三级分区
public,layer_reservoir_provincial,省控水库
public,layer_reservoir_provincial_label,省控水库注记
public,layer_reservoir_provincial_合并,省控水库
public,layer_river_provincial,省级河流空间表
public,layer_river_provincial_bak0617,省控河流
public,layer_section,工业园区-监测断面
public,layer_watershed,工业园区-汇水区
public,metadata_view,元数据-视图
public,min_value_setting,最低检出限
public,rs_enterprise_info_lsg,湖北省磷石膏尾矿库企业信息表：宜昌水环境
public,rs_enterprise_info_wade,污染源自动监管涉水企业：宜昌水环境
public,rs_industrial_info_yc,工业园区环境监测数据表
public,rs_industrial_info_yc_bak0305,
public,rs_livestock_info_yc,规模化畜禽养殖场-宜昌水环境
public,rs_outlet,排污口信息表
public,rs_outlet_info_v2,排污口管理
public,rs_outlet_live_v2,排污口实况
public,rs_outlet_monitor_v2,排污口监测
public,rs_outlet_remediation_v2,排污口整治
public,rs_outlet_trace_v2,排污口溯源
public,rs_pollutant_enterprise,污染源企业信息表：宜昌污染源在线平台企业信息
public,rs_pollutant_info,企业污染源排口信息表：宜昌污染源在线平台
public,rs_sewage_info_v2,污水处理厂档案管理及监测
public,rs_sewage_info_yc,污水处理厂信息表：宜昌水环境
public,rs_sewage_park_info,污水处理厂-园区配套信息表
public,rs_warn_records,污染预警消息通知
public,rs_wastewater_day_records,污染源监测日记录表
public,rs_wastewater_hour_records,污染源-小时监测数据表
public,rs_wastewater_month_records,污染源监测月记录表
public,rs_wastewater_standard,废水/废气排放标准配置表
public,se_watershed,流域产值信息：年统计值
public,se_watershed_river,流域河流管理档案表
public,spatial_ref_sys,
public,stg_sjtj_sxhysjzxpt_dbo_operator_day_burnup_df,船舶公司每天的燃耗
public,stg_sjtj_sxhysjzxpt_t_vessel_info_df,船舶报港离港信息
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df,锚地与清洁公司关联表
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,锚地信息表
public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,船舶污染物清洁公司信息
public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,全流程协同指数
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,根据行船类别统计每日污染物提交重量
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,接收船舶考评日报
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df,净小宜全流程各类型主体数量
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df,洗舱服务
public,stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df,污染物接收量数据
public,stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df,每日各清洁公司接单接收时效数据
public,stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df,船舶污染物处置单位信息表
public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,接受船舶评估
public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df,船舶污染物接收船舶信息表
public,stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df,转运车辆信息
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,船舶污染物接收码头信息表
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df,码头接单情况
public,stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df,污染物接收明细
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,污染物接收表
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,污染物转运B流程明细单
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df,污染物转运B流程
public,stg_sjtysj_cbwrwxtzlxxxt_p_receive_storage_df,污染物存储明细单
public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_detail_df,污染物转运处置明细单
public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df,污染物转运处置表
public,stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df,污染物码头存储表
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_bas_base_df,流域基础信息
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df,影像监视点基础信息
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df,河湖库信息表
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rel_st_source_df,监测站来源分类表
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_warn_stcd_r_df,预警测站关联表
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_wr_mp_b_df,监测站(点)-取用水监测点基本信息表
public,stg_ycsjtysj_sxhyzssj_base_channel_df,航道信息表
public,stg_ycsjtysj_sxhyzssj_base_channel_level_df,航道按等级|县市区划分
public,stg_ycsjtysj_sxhyzssj_base_ship_df,图层管理（船舶）KPI
public,stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df,图层管理（码头）KPI
public,stg_ycsjtysj_sxhyzssj_data_ship_info_df,图层管理（清洁船舶）KPI
public,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,污染源_基本信息
public,stg_ycssthjj_lysthjjkyjpt_t_sjzx_szzdjcz_df,城市数字公共基础设施建设__水质自动监测站
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,监控数据_日数据_污染物_
public,wh_hydrological_day_records,水文监测日记录表
public,wh_hydrological_hour_records,水文监测小时记录表
public,wh_hydrological_records_1,水文数据表
public,wh_meteorological_day_records,气象数据日记录表
public,wh_meteorological_hour_records,气象数据小时记录表
public,wh_meteorological_predict_day_records,气象预报日记录表
public,wh_meteorological_predict_hour_records,气象预报小时记录表
public,wh_meteorological_records_1,气象数据表
public,wm_camera_info,摄像头基本信息表
public,wm_camera_platform,视频平台设备信息表
public,wm_directory,目录树实体
public,wm_hydrological_info,水位站基本信息表
public,wm_image_info,档案图片信息表：用于保存各种站点、断面、污染源的图片信息
public,wm_meteorological_info,气象自动监测站基本信息表
public,wm_panorama_layer,全景图层信息表
public,wm_panorama_layer_relation,全景图层关联关系表
public,wm_panorama_video,全景视频信息表
public,wm_raster_info,遥感影像栅格信息表
public,wm_raster_inversion,遥感反演结果表（合并版）
public,wm_raster_inversion_config,遥感反演配置表
public,wm_section_info,断面基本信息表
public,wm_section_wq_info,断面水质目标信息表
public,wm_station_info,水质自动监测站基本信息表
public,wm_station_info_v2,自动站管理
public,wm_uav_info,大疆无人机基础信息
public,wm_water_intake,水源地-取水口
public,wm_water_source,水源地信息：通过code码关联
public,wm_water_source_bak0421,水源地信息：通过code码关联
public,wm_water_source_intake_v2,饮用水水源地管理及监测-取水口
public,wm_water_source_zone_v2,饮用水水源地管理及监测-保护区
public,wm_waterbody_info,水体信息实体类
public,wm_waterquality_day_records,水质监测日记录表
public,wm_waterquality_hour_records,水质监测小时记录表
public,wm_waterquality_month_records,水质监测月记录表
public,wm_waterquality_threshold,站点水质指标阈值
public,wm_waterquality_year_records,水质监测年记录表
public,wst_asset,水安全溯源模块-统一资产表，存储断面、站点、排口、企业、园区、闸坝、管线、摄像头、事故池等可上图、可查询、可关联对象
public,wst_asset_relation,资产关系实例表，存储资产与资产之间的一度业务关系，不代表水流路径
public,wst_asset_trace_snap,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁
public,wst_asset_type_dict,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则
public,wst_control_zone,水安全溯源模块-三级分区表，用于管理国控断面控制单元、自动站分区、工业园区/分水岭分区
public,wst_layer_river,溯源图层河流表
public,wst_relation_subtype_dict,关系子类字典表，维护具体业务关系类型、标准方向和允许资产类型
public,wst_relation_type_dict,关系大类字典表，用于维护资产关系的大类编码
public,wst_trace_edge,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表
public,wst_trace_node,水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点
public,wst_trace_topology_issue,溯源拓扑问题记录表
public,wt_service_directory,主键id
public,wt_warnparm_config,监测预警参数配置表
