table_name,column_name,data_type,column_comment,table_comment,review_decision,review_note
wm_raster_inversion,record_id,bigint,遥感反演结果记录ID,遥感反演结果表（合并版）,,
wm_raster_inversion,inversion_type,character varying,反演类型：water_environment-水环境，algalbloom-水生态，landuse-土地利用,遥感反演结果表（合并版）,,
wm_raster_inversion,l1_area,double precision,I类/浮叶挺水植被/背景面积,遥感反演结果表（合并版）,,
wm_raster_inversion,l2_area,double precision,II类/沉水植被/耕地面积,遥感反演结果表（合并版）,,
wm_raster_inversion,l3_area,double precision,III类/水华/园地面积,遥感反演结果表（合并版）,,
wm_raster_inversion,l4_area,double precision,IV类/水体/林地面积,遥感反演结果表（合并版）,,
wm_raster_inversion,l5_area,double precision,V类/水体面积,遥感反演结果表（合并版）,,
wm_raster_inversion,l6_area,double precision,劣V类/建设用地面积,遥感反演结果表（合并版）,,
wm_raster_inversion,service_url,text,服务地址,遥感反演结果表（合并版）,,
wm_raster_inversion,data_time,timestamp without time zone,数据日期,遥感反演结果表（合并版）,,
