table_name,ddl_file,columns_in_ddl,has_create_table,has_ddl_not_available
ad_dict,ad_dict.sql,1,yes,no
cf_auto_build_flag,cf_auto_build_flag.sql,1,yes,no
day_quality_records,day_quality_records.sql,1,yes,no
day_quality_setting,day_quality_setting.sql,1,yes,no
dc_survey_app,dc_survey_app.sql,1,yes,no
dc_survey_info,dc_survey_info.sql,1,yes,no
dc_survey_offline_sync,dc_survey_offline_sync.sql,1,yes,no
dc_survey_offline_upload,dc_survey_offline_upload.sql,1,yes,no
dc_survey_task,dc_survey_task.sql,1,yes,no
dc_survey_task_instance,dc_survey_task_instance.sql,1,yes,no
dc_survey_track,dc_survey_track.sql,1,yes,no
gis_control_unit,gis_control_unit.sql,1,yes,no
gis_ecologicalregion,gis_ecologicalregion.sql,1,yes,no
gis_headwaters,gis_headwaters.sql,1,yes,no
gis_naturereserve,gis_naturereserve.sql,1,yes,no
gis_poi,gis_poi.sql,1,yes,no
gis_region,gis_region.sql,1,yes,no
gis_region_city,gis_region_city.sql,1,yes,no
gis_region_county,gis_region_county.sql,1,yes,no
gis_region_population,gis_region_population.sql,1,yes,no
gis_region_township,gis_region_township.sql,1,yes,no
gis_watershed_partition,gis_watershed_partition.sql,1,yes,no
gis_watershed_partition_3,gis_watershed_partition_3.sql,1,yes,no
gis_watershed_partition_4,gis_watershed_partition_4.sql,1,yes,no
layer_boundary_enterprise,layer_boundary_enterprise.sql,1,yes,no
layer_boundary_park,layer_boundary_park.sql,1,yes,no
layer_entity_process,layer_entity_process.sql,1,yes,no
layer_entity_relation,layer_entity_relation.sql,1,yes,no
layer_industrial_ghysgw,layer_industrial_ghysgw.sql,1,yes,no
layer_industrial_lsf,layer_industrial_lsf.sql,1,yes,no
layer_industrial_xzysgw,layer_industrial_xzysgw.sql,1,yes,no
layer_industrial_yjf,layer_industrial_yjf.sql,1,yes,no
layer_industrial_yjsgc,layer_industrial_yjsgc.sql,1,yes,no
layer_industrial_ysc,layer_industrial_ysc.sql,1,yes,no
layer_outlet_sewage,layer_outlet_sewage.sql,1,yes,no
layer_partition_2,layer_partition_2.sql,1,yes,no
layer_partition_3,layer_partition_3.sql,1,yes,no
layer_reservoir_provincial,layer_reservoir_provincial.sql,1,yes,no
layer_reservoir_provincial_label,layer_reservoir_provincial_label.sql,1,yes,no
layer_reservoir_provincial_合并,layer_reservoir_provincial_合并.sql,1,yes,no
layer_river_provincial,layer_river_provincial.sql,1,yes,no
layer_section,layer_section.sql,1,yes,no
layer_watershed,layer_watershed.sql,1,yes,no
metadata_view,metadata_view.sql,1,yes,no
min_value_setting,min_value_setting.sql,1,yes,no
rs_enterprise_info_lsg,rs_enterprise_info_lsg.sql,1,yes,no
rs_enterprise_info_wade,rs_enterprise_info_wade.sql,1,yes,no
