table_schema,table_name,column_name,data_type,udt_name,reason
public,_stg_yichang_river_counts,layer_inserted,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_counts,layer_updated,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_counts,asset_inserted,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_counts,asset_updated,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_counts,skipped,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,gid,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,OBJECTID,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Nextdown,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,MAINRIVID,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Hydrocount,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Rclass,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Rlenth,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Hydrolenth,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Rcatch,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,TCatch,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Rname,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Shape_Leng,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,RiverID,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,RclassDISP,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,OSMratio,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,GRITratio,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,Hydroratio,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,NameList,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,OrignCNT,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,SEG_ID,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,LEN,numeric,numeric,库内无同名字段注释可参考，无法安全推断
