table_name,column_name,candidate_comment,actual_db_comment,object_exists,comment_matches,verify_status,note
_stg_yichang_river_import,Nextdown,下游河流ID,下游河流ID,True,True,OK,
_stg_yichang_river_import,MAINRIVID,干流ID,干流ID,True,True,OK,
_stg_yichang_river_import,Hydrocount,水文计数,水文计数,True,True,OK,
_stg_yichang_river_import,Rclass,河流类别编码,河流类别编码,True,True,OK,
_stg_yichang_river_import,Rlenth,河流长度,河流长度,True,True,OK,
_stg_yichang_river_import,Hydrolenth,水文计算长度,水文计算长度,True,True,OK,
_stg_yichang_river_import,Rcatch,汇水面积,汇水面积,True,True,OK,
_stg_yichang_river_import,TCatch,总汇水面积,总汇水面积,True,True,OK,
_stg_yichang_river_import,Rname,河流名称,河流名称,True,True,OK,
_stg_yichang_river_import,Shape_Leng,要素长度,要素长度,True,True,OK,
_stg_yichang_river_import,RiverID,河流ID,河流ID,True,True,OK,
_stg_yichang_river_import,NameList,河流名称列表,河流名称列表,True,True,OK,
_stg_yichang_river_import,SEG_ID,分段ID,分段ID,True,True,OK,
_stg_yichang_river_import,LEN,分段长度,分段长度,True,True,OK,
_stg_yichang_river_import,FROM_Z,起点高程,起点高程,True,True,OK,
_stg_yichang_river_import,TO_Z,终点高程,终点高程,True,True,OK,
_stg_yichang_river_import,STR_ORD,Strahler河流分级,Strahler河流分级,True,True,OK,
_stg_yichang_river_import,SHR_ORD,Shreve河流分级,Shreve河流分级,True,True,OK,
_stg_yichang_river_std,next_down,下游河流ID,下游河流ID,True,True,OK,
_stg_yichang_river_std,river_class,河流类别,河流类别,True,True,OK,
_stg_yichang_river_std,length_km,河流长度（公里）,河流长度（公里）,True,True,OK,
_stg_yichang_river_std,from_z,起点高程,起点高程,True,True,OK,
_stg_yichang_river_std,to_z,终点高程,终点高程,True,True,OK,
gis_ecologicalregion,service_target,生态服务目标,生态服务目标,True,True,OK,
gis_ecologicalregion,ecosystem_vegetation,生态系统植被概况,生态系统植被概况,True,True,OK,
gis_ecologicalregion,human_activities,人类活动影响描述,人类活动影响描述,True,True,OK,
gis_ecologicalregion,environment_problems,生态环境问题描述,生态环境问题描述,True,True,OK,
gis_ecologicalregion,control_measures,管控措施描述,管控措施描述,True,True,OK,
gis_headwaters,water_intake_quantity,年取水量,年取水量,True,True,OK,
gis_headwaters,water_supply_population,供水人口数,供水人口数,True,True,OK,
gis_headwaters,is_protect_region,是否在保护区范围内,是否在保护区范围内,True,True,OK,
gis_naturereserve,department,主管部门,主管部门,True,True,OK,
gis_naturereserve,protect_target,主要保护对象,主要保护对象,True,True,OK,
gis_naturereserve,manage_org_name,管理机构名称,管理机构名称,True,True,OK,
gis_naturereserve,manage_org_type,管理机构类型,管理机构类型,True,True,OK,
gis_naturereserve,manage_org_level,管理机构级别,管理机构级别,True,True,OK,
gis_naturereserve,first_protect_animals,国家一级保护动物,国家一级保护动物,True,True,OK,
gis_naturereserve,second_protect_animals,国家二级保护动物,国家二级保护动物,True,True,OK,
gis_naturereserve,first_protect_plants,国家一级保护植物,国家一级保护植物,True,True,OK,
gis_naturereserve,second_protect_plants,国家二级保护植物,国家二级保护植物,True,True,OK,
gis_region,region_level,区划级别,区划级别,True,True,OK,
gis_region,parent_code,父级区划编码,父级区划编码,True,True,OK,
gis_region_population,city_population,城镇人口,城镇人口,True,True,OK,
gis_region_population,city_area,城镇面积,城镇面积,True,True,OK,
gis_region_population,city_quantity,城镇数量,城镇数量,True,True,OK,
gis_region_population,rural_population,农村人口,农村人口,True,True,OK,
gis_region_population,rural_area,农村面积,农村面积,True,True,OK,
gis_region_population,rural_quantity,农村数量,农村数量,True,True,OK,
gis_watershed_partition_4,poly_area,多边形面积,多边形面积,True,True,OK,
layer_reservoir_provincial,cc,行政区划编码,行政区划编码,True,True,OK,
layer_reservoir_provincial,gb,国标编码,国标编码,True,True,OK,
layer_reservoir_provincial,bas,流域编码,流域编码,True,True,OK,
layer_reservoir_provincial,period,时期/阶段,时期/阶段,True,True,OK,
layer_reservoir_provincial,wq,水质类别,水质类别,True,True,OK,
