table_name,table_comment,safe_candidate_count,total_columns_in_table,commented_columns_in_table,safe_candidate_ratio,review_priority,reason
ad_dict,数据字典,9,14,9,64.3%,low,表注释清楚且字段注释明确
cf_auto_build_flag,主键id,1,7,7,14.3%,low,表注释清楚且字段注释明确
day_quality_records,日质控数据,16,25,25,64.0%,low,表注释清楚且字段注释明确
day_quality_setting,日质控设置,2,13,10,15.4%,low,表注释清楚且字段注释明确
dc_survey_app,APP安装包版本管理表,6,11,11,54.5%,low,表注释清楚且字段注释明确
dc_survey_info,巡回调查-调查后的核查信息,9,23,23,39.1%,low,表注释清楚且字段注释明确
dc_survey_offline_sync,离线同步任务表,8,14,14,57.1%,low,表注释清楚且字段注释明确
dc_survey_offline_upload,文件上传缓存表 - 支持断点续传和本地文件缓存,8,16,16,50.0%,low,表注释清楚且字段注释明确
dc_survey_task,巡查任务表,6,18,18,33.3%,low,表注释清楚且字段注释明确
dc_survey_task_instance,任务实例：记录轨迹、点位的添加,2,6,6,33.3%,low,表注释清楚且字段注释明确
dc_survey_track,巡查轨迹记录表,2,9,9,22.2%,low,表注释清楚且字段注释明确
gis_control_unit,,2,12,12,16.7%,medium,表级注释缺失
gis_poi,主键id,4,17,12,23.5%,low,表注释清楚且字段注释明确
gis_watershed_partition,空间-流域分区数据,2,13,12,15.4%,low,表注释清楚且字段注释明确
gis_watershed_partition_4,,1,11,5,9.1%,medium,表级注释缺失
layer_boundary_park,工业园区-园区边界,2,7,3,28.6%,low,表注释清楚且字段注释明确
layer_entity_process,溯源关系查询流程：使用到的图层信息,7,9,9,77.8%,low,表注释清楚且字段注释明确
layer_entity_relation,图层-要素关联关系表,6,8,8,75.0%,low,表注释清楚且字段注释明确
layer_outlet_sewage,工业园区-污水排放口,1,7,1,14.3%,low,表注释清楚且字段注释明确
layer_partition_2,二级分区,1,5,3,20.0%,low,表注释清楚且字段注释明确
layer_partition_3,三级分区,2,6,4,33.3%,low,表注释清楚且字段注释明确
metadata_view,元数据-视图,1,9,3,11.1%,low,表注释清楚且字段注释明确
min_value_setting,最低检出限,1,8,8,12.5%,low,表注释清楚且字段注释明确
rs_enterprise_info_lsg,湖北省磷石膏尾矿库企业信息表：宜昌水环境,10,22,22,45.5%,low,表注释清楚且字段注释明确
rs_enterprise_info_wade,污染源自动监管涉水企业：宜昌水环境,4,16,16,25.0%,low,表注释清楚且字段注释明确
rs_industrial_info_yc,工业园区环境监测数据表,56,66,61,84.8%,medium,safe_candidate 数量多(56字段)
rs_industrial_info_yc_bak0305,,4,13,7,30.8%,medium,表级注释缺失
rs_livestock_info_yc,规模化畜禽养殖场-宜昌水环境,54,68,68,79.4%,medium,safe_candidate 数量多(54字段)
rs_outlet,排污口信息表,96,106,105,90.6%,medium,safe_candidate 数量多(96字段)
rs_outlet_info_v2,排污口管理,21,30,24,70.0%,low,表注释清楚且字段注释明确
rs_outlet_live_v2,排污口实况,6,14,8,42.9%,low,表注释清楚且字段注释明确
rs_outlet_monitor_v2,排污口监测,11,19,13,57.9%,low,表注释清楚且字段注释明确
rs_outlet_remediation_v2,排污口整治,7,14,8,50.0%,low,表注释清楚且字段注释明确
rs_outlet_trace_v2,排污口溯源,12,23,17,52.2%,low,表注释清楚且字段注释明确
rs_pollutant_enterprise,污染源企业信息表：宜昌污染源在线平台企业信息,17,27,27,63.0%,low,表注释清楚且字段注释明确
rs_pollutant_info,企业污染源排口信息表：宜昌污染源在线平台,10,21,21,47.6%,low,表注释清楚且字段注释明确
rs_sewage_info_v2,污水处理厂档案管理及监测,58,64,58,90.6%,medium,safe_candidate 数量多(58字段)
rs_sewage_info_yc,污水处理厂信息表：宜昌水环境,8,17,17,47.1%,low,表注释清楚且字段注释明确
rs_sewage_park_info,污水处理厂-园区配套信息表,7,18,13,38.9%,low,表注释清楚且字段注释明确
rs_warn_records,污染预警消息通知,15,25,25,60.0%,low,表注释清楚且字段注释明确
rs_wastewater_month_records,污染源监测月记录表,2,62,62,3.2%,low,表注释清楚且字段注释明确
rs_wastewater_standard,废水/废气排放标准配置表,3,15,15,20.0%,low,表注释清楚且字段注释明确
se_watershed,流域产值信息：年统计值,8,14,13,57.1%,low,表注释清楚且字段注释明确
se_watershed_river,流域河流管理档案表,19,26,26,73.1%,low,表注释清楚且字段注释明确
stg_sjtj_sxhysjzxpt_dbo_operator_day_burnup_df,船舶公司每天的燃耗,4,4,4,100.0%,low,表注释清楚且字段注释明确
stg_sjtj_sxhysjzxpt_t_vessel_info_df,船舶报港离港信息,7,8,8,87.5%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df,锚地与清洁公司关联表,1,4,4,25.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,锚地信息表,7,15,11,46.7%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,船舶污染物清洁公司信息,5,15,15,33.3%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,全流程协同指数,7,9,9,77.8%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,根据行船类别统计每日污染物提交重量,14,15,15,93.3%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,接收船舶考评日报,7,11,11,63.6%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df,净小宜全流程各类型主体数量,7,8,8,87.5%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df,洗舱服务,9,10,10,90.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df,污染物接收量数据,13,20,20,65.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df,每日各清洁公司接单接收时效数据,6,8,8,75.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df,船舶污染物处置单位信息表,10,19,19,52.6%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,接受船舶评估,10,13,12,76.9%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df,船舶污染物接收船舶信息表,14,22,22,63.6%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df,转运车辆信息,5,12,12,41.7%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,船舶污染物接收码头信息表,7,20,18,35.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df,码头接单情况,7,9,9,77.8%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df,污染物接收明细,9,16,16,56.2%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,污染物接收表,37,64,56,57.8%,medium,safe_candidate 数量多(37字段)
stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,污染物转运B流程明细单,1,8,4,12.5%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df,污染物转运B流程,23,31,31,74.2%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_receive_storage_df,污染物存储明细单,2,5,5,40.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_detail_df,污染物转运处置明细单,4,5,5,80.0%,low,表注释清楚且字段注释明确
stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df,污染物转运处置表,55,72,72,76.4%,medium,safe_candidate 数量多(55字段)
stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df,污染物码头存储表,11,25,25,44.0%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_bas_base_df,流域基础信息,16,21,21,76.2%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df,影像监视点基础信息,23,28,28,82.1%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df,河湖库信息表,8,15,15,53.3%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rel_st_source_df,监测站来源分类表,3,3,3,100.0%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_warn_stcd_r_df,预警测站关联表,6,6,6,100.0%,low,表注释清楚且字段注释明确
stg_sslhhpj_hbsxkqycszhslzhglptjsxm_wr_mp_b_df,监测站(点)-取用水监测点基本信息表,23,24,24,95.8%,low,表注释清楚且字段注释明确
stg_ycsjtysj_sxhyzssj_base_channel_df,航道信息表,6,9,9,66.7%,low,表注释清楚且字段注释明确
stg_ycsjtysj_sxhyzssj_base_channel_level_df,航道按等级|县市区划分,6,10,10,60.0%,low,表注释清楚且字段注释明确
stg_ycsjtysj_sxhyzssj_base_ship_df,图层管理（船舶）KPI,14,18,15,77.8%,low,表注释清楚且字段注释明确
stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df,图层管理（码头）KPI,8,13,13,61.5%,low,表注释清楚且字段注释明确
