schema_name,table_name,table_comment,column_count,commented_column_count,missing_column_count,trainable,exclude_reason
public,ad_dict,数据字典,14,14,0,yes,
public,cf_auto_build_flag,主键id,7,7,0,yes,
public,day_quality_records,日质控数据,25,25,0,yes,
public,day_quality_setting,日质控设置,13,10,3,yes,
public,dc_survey_app,APP安装包版本管理表,11,11,0,yes,
public,dc_survey_info,巡回调查-调查后的核查信息,23,23,0,yes,
public,dc_survey_offline_sync,离线同步任务表,14,14,0,yes,
public,dc_survey_offline_upload,文件上传缓存表 - 支持断点续传和本地文件缓存,16,16,0,yes,
public,dc_survey_task,巡查任务表,18,18,0,yes,
public,dc_survey_task_instance,任务实例：记录轨迹、点位的添加,6,6,0,yes,
public,dc_survey_track,巡查轨迹记录表,9,9,0,yes,
public,gis_control_unit,水环境管控单元表,12,12,0,yes,
public,gis_ecologicalregion,生态保护红线区域表,19,18,1,yes,
public,gis_headwaters,水源地表,16,16,0,yes,
public,gis_naturereserve,自然保护区表,25,22,3,yes,
public,gis_poi,主键id,17,17,0,yes,
public,gis_region,区县数据表,14,14,0,yes,
public,gis_region_city,城市行政区划表,4,4,0,yes,
public,gis_region_county,行政区-区县,5,5,0,yes,
public,gis_region_population,行政区人口统计表,14,14,0,yes,
public,gis_region_township,行政区划-乡镇,6,6,0,yes,
public,gis_watershed_partition,空间-流域分区数据,13,13,0,yes,
public,gis_watershed_partition_3,三级流域分区表,5,5,0,yes,
public,gis_watershed_partition_4,四级流域分区表,11,8,3,yes,
public,layer_boundary_enterprise,工业园区-企业边界,4,4,0,yes,
public,layer_boundary_park,工业园区-园区边界,7,7,0,yes,
public,layer_entity_process,溯源关系查询流程：使用到的图层信息,9,9,0,yes,
public,layer_entity_relation,图层-要素关联关系表,8,8,0,yes,
public,layer_industrial_ghysgw,工业园区-规划雨水管网,4,4,0,yes,
public,layer_industrial_lsf,工业园区-园区临时闸阀,4,4,0,yes,
public,layer_industrial_xzysgw,工业园区-现状雨水管网,4,4,0,yes,
public,layer_industrial_yjf,工业园区-园区永久闸阀,4,4,0,yes,
public,layer_industrial_yjsgc,工业园区-应急事故池,6,6,0,yes,
public,layer_industrial_ysc,工业园区-雨水池,6,6,0,yes,
public,layer_outlet_sewage,工业园区-污水排放口,7,7,0,yes,
public,layer_partition_2,二级分区,5,5,0,yes,
public,layer_partition_3,三级分区,6,6,0,yes,
public,layer_reservoir_provincial,省控水库,30,24,6,yes,
public,layer_reservoir_provincial_label,省控水库注记,27,21,6,yes,
public,layer_reservoir_provincial_合并,省控水库,27,21,6,yes,
public,layer_river_provincial,省级河流空间表,23,17,6,yes,
public,layer_section,工业园区-监测断面,6,6,0,yes,
public,layer_watershed,工业园区-汇水区,4,4,0,yes,
public,metadata_view,元数据-视图,9,9,0,yes,
public,min_value_setting,最低检出限,8,8,0,yes,
public,rs_enterprise_info_lsg,湖北省磷石膏尾矿库企业信息表：宜昌水环境,22,22,0,yes,
public,rs_enterprise_info_wade,污染源自动监管涉水企业：宜昌水环境,16,16,0,yes,
public,rs_industrial_info_yc,工业园区环境监测数据表,66,66,0,yes,
public,rs_livestock_info_yc,规模化畜禽养殖场-宜昌水环境,68,68,0,yes,
public,rs_outlet,排污口信息表,106,105,1,yes,
public,rs_outlet_info_v2,排污口管理,30,30,0,yes,
public,rs_outlet_live_v2,排污口实况,14,14,0,yes,
public,rs_outlet_monitor_v2,排污口监测,19,19,0,yes,
public,rs_outlet_remediation_v2,排污口整治,14,14,0,yes,
public,rs_outlet_trace_v2,排污口溯源,23,23,0,yes,
public,rs_pollutant_enterprise,污染源企业信息表：宜昌污染源在线平台企业信息,27,27,0,yes,
public,rs_pollutant_info,企业污染源排口信息表：宜昌污染源在线平台,21,21,0,yes,
public,rs_sewage_info_v2,污水处理厂档案管理及监测,64,64,0,yes,
public,rs_sewage_info_yc,污水处理厂信息表：宜昌水环境,17,17,0,yes,
public,rs_sewage_park_info,污水处理厂-园区配套信息表,18,18,0,yes,
public,rs_warn_records,污染预警消息通知,25,25,0,yes,
public,rs_wastewater_day_records,污染源监测日记录表,59,59,0,yes,
public,rs_wastewater_hour_records,污染源-小时监测数据表,57,57,0,yes,
public,rs_wastewater_month_records,污染源监测月记录表,62,62,0,yes,
public,rs_wastewater_standard,废水/废气排放标准配置表,15,15,0,yes,
public,se_watershed,流域产值信息：年统计值,14,14,0,yes,
public,se_watershed_river,流域河流管理档案表,26,26,0,yes,
public,wh_hydrological_day_records,水文监测日记录表,29,29,0,yes,
public,wh_hydrological_hour_records,水文监测小时记录表,19,19,0,yes,
public,wh_hydrological_records_1,水文数据表,11,11,0,yes,
public,wh_meteorological_day_records,气象数据日记录表,42,42,0,yes,
public,wh_meteorological_hour_records,气象数据小时记录表,24,24,0,yes,
public,wh_meteorological_predict_day_records,气象预报日记录表,40,40,0,yes,
public,wh_meteorological_predict_hour_records,气象预报小时记录表,41,41,0,yes,
public,wh_meteorological_records_1,气象数据表,11,11,0,yes,
public,wm_camera_info,摄像头基本信息表,16,16,0,yes,
public,wm_camera_platform,视频平台设备信息表,21,21,0,yes,
public,wm_directory,目录树实体,10,10,0,yes,
public,wm_hydrological_info,水位站基本信息表,40,40,0,yes,
public,wm_image_info,档案图片信息表：用于保存各种站点、断面、污染源的图片信息,12,12,0,yes,
public,wm_meteorological_info,气象自动监测站基本信息表,40,40,0,yes,
public,wm_panorama_layer,全景图层信息表,11,11,0,yes,
public,wm_panorama_layer_relation,全景图层关联关系表,7,7,0,yes,
public,wm_panorama_video,全景视频信息表,9,9,0,yes,
public,wm_raster_info,遥感影像栅格信息表,14,14,0,yes,
public,wm_raster_inversion,遥感反演结果表（合并版）,18,18,0,yes,
public,wm_raster_inversion_config,遥感反演配置表,9,6,3,yes,
public,wm_section_info,断面基本信息表,26,26,0,yes,
public,wm_section_wq_info,断面水质目标信息表,10,10,0,yes,
public,wm_station_info,水质自动监测站基本信息表,47,47,0,yes,
public,wm_station_info_v2,自动站管理,31,31,0,yes,
public,wm_uav_info,大疆无人机基础信息,39,39,0,yes,
public,wm_water_intake,水源地-取水口,14,14,0,yes,
public,wm_water_source,水源地信息：通过code码关联,36,36,0,yes,
public,wm_water_source_intake_v2,饮用水水源地管理及监测-取水口,22,22,0,yes,
public,wm_water_source_zone_v2,饮用水水源地管理及监测-保护区,19,19,0,yes,
public,wm_waterbody_info,水体信息实体类,27,26,1,yes,
public,wm_waterquality_day_records,水质监测日记录表,73,72,1,yes,
public,wm_waterquality_hour_records,水质监测小时记录表,82,82,0,yes,
public,wm_waterquality_month_records,水质监测月记录表,77,77,0,yes,
public,wm_waterquality_threshold,站点水质指标阈值,38,38,0,yes,
public,wm_waterquality_year_records,水质监测年记录表,71,71,0,yes,
public,wst_asset,水安全溯源模块-统一资产表，存储断面、站点、排口、企业、园区、闸坝、管线、摄像头、事故池等可上图、可查询、可关联对象,26,26,0,yes,
public,wst_asset_relation,资产关系实例表，存储资产与资产之间的一度业务关系，不代表水流路径,11,11,0,yes,
public,wst_asset_trace_snap,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,27,27,0,yes,
public,wst_asset_type_dict,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,22,22,0,yes,
public,wst_control_zone,水安全溯源模块-三级分区表，用于管理国控断面控制单元、自动站分区、工业园区/分水岭分区,19,19,0,yes,
public,wst_layer_river,溯源图层河流表,12,11,1,yes,
public,wst_relation_subtype_dict,关系子类字典表，维护具体业务关系类型、标准方向和允许资产类型,19,19,0,yes,
public,wst_relation_type_dict,关系大类字典表，用于维护资产关系的大类编码,8,8,0,yes,
public,wst_trace_edge,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,36,36,0,yes,
public,wst_trace_node,水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点,25,25,0,yes,
public,wst_trace_topology_issue,溯源拓扑问题记录表,18,18,0,yes,
public,wt_service_directory,主键id,25,25,0,yes,
public,wt_warnparm_config,监测预警参数配置表,21,21,0,yes,
