table_name,column_name,sample_value,sample_count_or_note
gis_region_population,region_id,,表为空，无样本可查
gis_region_population,year,,表为空，无样本可查
wm_raster_inversion_config,type_code,,表为空，无样本可查
wst_trace_node,asset_id,,表为空，无样本可查
wst_trace_topology_issue,object_code,FA-420582-0083-QT-00,完整设施编码格式（含行政区划代码-序号-类型-状态）
wst_trace_topology_issue,object_code,FA-420583-0224-QT-00,同上
wst_trace_topology_issue,object_code,FA-420527-0120-QT-00,同上
wst_trace_topology_issue,object_code,rs_outlet_947,排口编码格式
wst_trace_topology_issue,object_code,rs_outlet_910,排口编码格式
wst_trace_topology_issue,object_code,FA-420502-0127-QT-00,完整设施编码格式
wst_trace_topology_issue,object_code,rs_outlet_1389,排口编码格式
wst_trace_topology_issue,object_code,rs_outlet_1868,排口编码格式
wst_trace_topology_issue,object_code,FA-420527-0108-SH-00,完整设施编码格式
wst_trace_topology_issue,object_code,FA-420583-0177-QT-00,完整设施编码格式
wst_trace_topology_issue,object_code,FA-420581-0014-QT-00,完整设施编码格式
wst_trace_topology_issue,object_code,rs_outlet_2705,排口编码格式
wst_trace_topology_issue,object_code,FA-420581-0185-GY-00,完整设施编码格式（GY可能=工业）
wst_trace_topology_issue,object_code,FA-420502-0050-QT-00,完整设施编码格式
wst_trace_topology_issue,object_code,rs_outlet_744,排口编码格式
wst_trace_topology_issue,object_code,HBYC2020111301,项目编码格式
wst_trace_topology_issue,object_code,rs_outlet_2433,排口编码格式
wst_trace_topology_issue,object_code,rs_outlet_1000,排口编码格式
wst_trace_topology_issue,object_code,rs_outlet_1446,排口编码格式
