table_schema,table_name,column_name,proposed_comment,evidence_count,evidence_tables,reason
public,layer_outlet_sewage,jcdbh,监测点编号,2,"rs_pollutant_info, rs_wastewater_standard",evidence_count=2 + 同属排污/废水排放业务域 + jcdbh(监测点编号)拼音缩写与证据表语义一致 + 目标表为排放口图层，监测点编号是核心标识
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,day,日期,5,"stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df, stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df",evidence_count=5 + 全部同一 staging 模块(stg_sjtysj) + 目标表和证据表均为同一数据源系统的日统计类表 + day 字段语义一致
public,wm_hydrological_info,build_time,建设时间,1,wm_station_info_v2,同属 wm 站点/水文业务域 + 目标表(水位站)与证据表(自动站点)均为监测站点类表 + build_time 语义明确为建设时间 + 同模块同语义
public,wm_meteorological_info,build_time,建设时间,1,wm_station_info_v2,同属 wm 站点体系 + 目标表(气象监测站)与证据表(自动站点)均为监测站点类表 + build_time 语义一致
public,wm_station_info,build_time,建设时间,1,wm_station_info_v2,同表族(v1/v2) + 目标表与证据表为同一业务对象的两个版本 + build_time 语义绝对一致
public,wm_waterbody_info,img_name,照片名称,3,"wm_hydrological_info, wm_meteorological_info, wm_station_info",evidence_count=3 + 全部 wm 域 + 目标表为水体信息表，照片名称是合理的附属信息字段 + 多表一致注释为'照片名称'
public,wst_asset_trace_snap,network_type,网络类型，例如 river=外部河网，park_pipe=园区管网，park_river=园区内部排污河流，mixed=混合衔接网络,2,"wst_trace_edge, wst_trace_node",evidence_count=2 + 全部 wst 域 + 目标表(资产追溯挂接)与证据表(追溯边/节点)同属 pgRouting 拓扑追溯模块 + network_type 枚举值完全一致
public,wst_layer_river,created_at,创建时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",evidence_count=9 + 全部 wst 域 + created_at 为标准通用审计字段 + 库内注释完全一致为'创建时间'
public,wst_layer_river,updated_at,更新时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",evidence_count=9 + 全部 wst 域 + updated_at 为标准通用审计字段 + 库内注释完全一致为'更新时间'
public,wst_trace_topology_issue,created_by,创建人,6,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",evidence_count=6 + 全部 wst 域 + created_by 为标准通用审计字段 + 库内注释完全一致为'创建人'
public,wst_trace_topology_issue,created_at,创建时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",evidence_count=9 + 全部 wst 域 + created_at 为标准通用审计字段 + 库内注释完全一致
public,wst_trace_topology_issue,updated_by,更新人,6,"wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node",evidence_count=6 + 全部 wst 域 + updated_by 为标准通用审计字段 + 库内注释完全一致为'更新人'
public,wst_trace_topology_issue,updated_at,更新时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",evidence_count=9 + 全部 wst 域 + updated_at 为标准通用审计字段 + 库内注释完全一致
