table_name,column_name,data_type,column_comment,table_comment,suspicion_categories,risk_reason,suggested_review_tendency,suggested_reason,human_decision,human_note
wm_raster_inversion,record_id,bigint,遥感反演结果表（合并版）,,id_like_field | missing_table_comment,column_comment '遥感反演结果表（合并版）' 描述的是整张表的含义，而非 record_id 字段的含义。注释与字段不匹配，可能为填充时错误。,suggest_exclude_from_training,字段注释明显不是对该字段的描述，疑似注释填写错误。在确认正确注释前建议排除训练。,,
wm_raster_inversion,inversion_type,character varying,反演类型：water_environment-水环境，algalbloom-水生态，landuse-土地利用,,code_like_field | missing_table_comment,表级注释缺失，无法确认表级别的业务上下文。但 column_comment 包含明确的业务枚举值（water_environment/水环境、algalbloom/水生态、landuse/土地利用），注释质量较好。,suggest_possible_limited_training_after_table_context_confirmed,字段注释有明确的业务枚举说明，可辅助 Text-to-SQL 模型理解。但必须补齐表级注释后才能用于训练——模型需要知道这是什么表。,,
wm_raster_inversion,l1_area,double precision,I类/浮叶挺水植被/背景面积,,missing_table_comment,表级注释缺失。但 column_comment 'I类/浮叶挺水植被/背景面积' 包含明确的水质分类+植被类型+面积指标，业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释包含明确的水质分类和面积指标，业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,l2_area,double precision,II类/沉水植被/耕地面积,,missing_table_comment,表级注释缺失。column_comment 'II类/沉水植被/耕地面积' 业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,l3_area,double precision,III类/水华/园地面积,,missing_table_comment,表级注释缺失。column_comment 'III类/水华/园地面积' 业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,l4_area,double precision,IV类/水体/林地面积,,missing_table_comment,表级注释缺失。column_comment 'IV类/水体/林地面积' 业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,l5_area,double precision,V类/水体面积,,missing_table_comment,表级注释缺失。column_comment 'V类/水体面积' 业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,l6_area,double precision,劣V类/建设用地面积,,missing_table_comment,表级注释缺失。column_comment '劣V类/建设用地面积' 业务含义清晰。,suggest_possible_limited_training_after_table_context_confirmed,字段注释业务语义完整。补齐表级注释后可纳入训练。,,
wm_raster_inversion,service_url,text,服务地址,,missing_table_comment | very_short_comment,表级注释缺失。column_comment '服务地址' 仅4字，过于通用。无法区分是 WMS 服务地址、WFS 服务地址、还是其他类型的服务地址。,suggest_hold_for_business_review,注释过于通用，无法帮助模型理解该字段在遥感反演表中的具体含义。建议业务方确认后补充更具体的注释（如 'WMS 瓦片服务地址'）。,,
wm_raster_inversion,data_time,timestamp without time zone,数据日期,,missing_table_comment | time_like_field | very_short_comment,表级注释缺失。column_comment '数据日期' 仅4字，过于通用。无法区分是反演数据的采集日期、处理日期、还是影像的拍摄日期。,suggest_hold_for_business_review,注释过于通用，无法帮助模型理解该时间字段的精确业务含义。建议业务方确认后补充更具体的注释（如 '遥感影像拍摄日期'）。,,
