table_schema,table_name,column_name,data_type,column_comment,table_comment,source,training_status,risk_level,reason
public,ad_dict,row_id,bigint,ROW_ID,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,list_type,character varying,列表类型,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,list_type_desc,character varying,列表描述,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,item_code,character varying,列表项代码,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,item_name,character varying,列表项名称,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,taxis_no,integer,排序码,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,origin_flag,character,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,origin_app,character varying,数据来源应用的代码,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,ad_dict,modification_num,integer,记录修改次数,数据字典,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,cf_auto_build_flag,id,bigint,主键id,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,cf_auto_build_flag,manual_auto,character,0 手动处理、1 自动处理,主键id,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,cf_auto_build_flag,create_by,bigint,创建人,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,cf_auto_build_flag,create_time,timestamp without time zone,创建时间,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,cf_auto_build_flag,update_by,bigint,更新人,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 update_by 在库内其他表中存在不同注释（5种）。保留原始注释，训练时需带表上下文。
public,cf_auto_build_flag,update_time,timestamp without time zone,更新时间,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
