table_schema,table_name,column_name,proposed_comment,evidence_count,evidence_tables,target_table_comment,target_table_prefix,evidence_table_prefixes,decision,risk_level,reason,reviewer_note
public,gis_region_population,region_id,所属区域id,1,wm_section_info,,gis_region,wm_section,needs_manual,medium,evidence_count=1 + 跨业务域(gis_region vs wm_section) + region_id 在不同业务上下文中可能指向不同区域体系,目标表无表注释，无法确认 region_id 是否确实指向 wm_section_info 中的同一套区域体系。建议人工确认 gis_region 的区域定义是否与 wm 模块一致。
public,gis_region_population,year,年份,2,"rs_livestock_info_yc, wm_section_wq_info",,gis_region,"rs_livestock, wm_section",needs_manual,medium,跨业务域(gis_region vs rs_livestock/wm_section) + year 字段在不同表中可能代表统计年份/数据年份/建设年份等不同语义,year 字段语义随表变化，例如人口统计表可能是统计年份，水质表可能是监测年份。建议人工确认。
public,layer_outlet_sewage,jcdbh,监测点编号,2,"rs_pollutant_info, rs_wastewater_standard",工业园区-废水排放口,layer_outlet,"rs_pollutant, rs_wastewater",approved,low,evidence_count=2 + 同属排污/废水排放业务域 + jcdbh(监测点编号)拼音缩写与证据表语义一致 + 目标表为排放口图层，监测点编号是核心标识,拼音缩写 jcdbh 虽然属于需谨慎类型，但 2 张证据表均为排污/废水排放域、且与 layer_outlet_sewage(工业园区-废水排放口)业务强相关，证据明确一致。
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,day,日期,5,"stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df, stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df",接收船舶日报表,stg_sjtysj,stg_sjtysj,approved,low,evidence_count=5 + 全部同一 staging 模块(stg_sjtysj) + 目标表和证据表均为同一数据源系统的日统计类表 + day 字段语义一致,所有证据表同属 stg_sjtysj 数据接入模块，day 含义统一为日期维度，无歧义。
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,cjsj,创建时间,1,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,宜昌市_在线监测_污染源_,stg_ycssthjj,stg_ycssthjj,needs_manual,low,evidence_count=1 + 拼音缩写 cjsj(创建时间) + 虽同属 stg_ycssthjj 模块但证据量不足以自动批准,cjsj 缩写大概率是 创建时间，且证据表同属一个 staging 来源系统。但因拼音缩写 + 单证据，按规则降级。建议人工确认后快速批准。
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,xgsj,修改时间,1,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,宜昌市_在线监测_污染源_,stg_ycssthjj,stg_ycssthjj,needs_manual,low,evidence_count=1 + 拼音缩写 xgsj(修改时间) + 虽同属 stg_ycssthjj 模块但证据量不足以自动批准,xgsj 缩写大概率是 修改时间，且证据表同属一个 staging 来源系统。但因拼音缩写 + 单证据，按规则降级。建议人工确认后快速批准。
public,wm_hydrological_info,build_time,建设时间,1,wm_station_info_v2,水位站基础信息表,wm_hydrological,wm_station,approved,low,同属 wm 站点/水文业务域 + 目标表(水位站)与证据表(自动站点)均为监测站点类表 + build_time 语义明确为建设时间 + 同模块同语义,水位站和自动站点均属于 wm 监测站点体系，build_time 在此上下文下含义完全一致。
public,wm_meteorological_info,build_time,建设时间,1,wm_station_info_v2,气象自动监测站基础信息表,wm_meteorological,wm_station,approved,low,同属 wm 站点体系 + 目标表(气象监测站)与证据表(自动站点)均为监测站点类表 + build_time 语义一致,气象监测站和自动站点均属于 wm 监测站点体系，build_time 含义一致。
public,wm_raster_inversion_config,type_code,关系大类编码，例如 ownership、discharge、monitoring,1,wst_relation_type_dict,,wm_raster,wst_relation,rejected,high,跨业务域严重不匹配 - 目标表为 wm_raster(栅格反演配置)，证据表为 wst_relation_type_dict(关系大类字典) + type_code 在栅格配置上下文中不可能表示 '关系大类编码' + 字段语义完全不匹配,wm_raster_inversion_config 是栅格反演配置表，type_code 很可能是反演类型编码或数据源类型编码，与 wst_relation_type_dict(水系统关系类型字典)完全不同业务域。此候选属于错误匹配。
public,wm_station_info,build_time,建设时间,1,wm_station_info_v2,水质自动监测站基础信息表,wm_station,wm_station,approved,low,同表族(v1/v2) + 目标表与证据表为同一业务对象的两个版本 + build_time 语义绝对一致,wm_station_info 和 wm_station_info_v2 是同一站点信息表的两个版本，build_time 含义必然相同。
public,wm_waterbody_info,water_body_name,水体名称,1,wm_station_info_v2,水体信息实体表,wm_waterbody,wm_station,needs_manual,low,evidence_count=1 + 非同一表族(waterbody_info vs station_info_v2) + 虽同属 wm 但子模块不同,water_body_name → 水体名称 语义上正确，且目标表为水体信息表。但证据仅来自站点表，按规则 evidence_count=1 且非通用审计字段，需人工确认。实际批准风险很低。
public,wm_waterbody_info,img_name,照片名称,3,"wm_hydrological_info, wm_meteorological_info, wm_station_info",水体信息实体表,wm_waterbody,"wm_hydrological, wm_meteorological, wm_station",approved,low,evidence_count=3 + 全部 wm 域 + 目标表为水体信息表，照片名称是合理的附属信息字段 + 多表一致注释为'照片名称',3 张 wm 域站点类表均将 img_name 注释为'照片名称'，目标表为水体信息表，img_name 含义一致。
public,wst_asset_trace_snap,network_type,网络类型，例如 river=外部河网，park_pipe=园区管网，park_river=园区内部排污河流，mixed=混合衔接网络,2,"wst_trace_edge, wst_trace_node",水安全资源模型-资产追溯挂接表，用于维护业务资产与溯源追溯节点之间的挂接关系，使资产参与 pgRouting 拓扑分析计算,wst_asset,"wst_trace, wst_trace",approved,low,evidence_count=2 + 全部 wst 域 + 目标表(资产追溯挂接)与证据表(追溯边/节点)同属 pgRouting 拓扑追溯模块 + network_type 枚举值完全一致,asset_trace_snap 是 trace_edge/node 的上层挂接表，network_type 在三个表中含义完全相同。
public,wst_layer_river,created_at,创建时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",,wst_layer,"wst_asset, wst_relation, wst_control, wst_trace",approved,low,evidence_count=9 + 全部 wst 域 + created_at 为标准通用审计字段 + 库内注释完全一致为'创建时间',created_at 在 9 张 wst 表中一致注释为'创建时间'，属标准审计字段，语义无歧义。
public,wst_layer_river,updated_at,更新时间,9,"wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node",,wst_layer,"wst_asset, wst_relation, wst_control, wst_trace",approved,low,evidence_count=9 + 全部 wst 域 + updated_at 为标准通用审计字段 + 库内注释完全一致为'更新时间',updated_at 在 9 张 wst 表中一致注释为'更新时间'，属标准审计字段，语义无歧义。
