table_name,column_name,data_type,column_comment,table_comment,suspicion_categories,risk_reason,suggested_review_tendency,suggested_reason,human_decision,human_note
wm_raster_inversion,record_id,bigint,遥感反演结果记录ID,遥感反演结果表（合并版）,id_like_field,字段名包含 'id'，注释'遥感反演结果记录ID'已从表级描述修正为字段级描述，但仍为通用记录ID类注释，缺乏具体业务含义。,suggest_exclude_from_training,字段注释已修正为字段级描述，但仍属通用 ID 类注释。ID 类字段的注释对 Text-to-SQL 模型帮助有限，建议排除训练。,,
wm_raster_inversion,inversion_type,character varying,反演类型：water_environment-水环境，algalbloom-水生态，landuse-土地利用,遥感反演结果表（合并版）,code_like_field,表注释已补齐为'遥感反演结果表（合并版）'。column_comment 包含明确的业务枚举值（water_environment/水环境、algalbloom/水生态、landuse/土地利用），注释质量较好。,suggest_possible_limited_training,字段注释有明确的业务枚举说明，可辅助 Text-to-SQL 模型理解。表注释已补齐，原 missing_table_comment 风险已解除。可考虑纳入有限训练。,,
wm_raster_inversion,l1_area,double precision,I类/浮叶挺水植被/背景面积,遥感反演结果表（合并版）,,column_comment 'I类/浮叶挺水植被/背景面积' 包含明确的水质分类+植被类型+面积指标，业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释包含明确的水质分类和面积指标，业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,l2_area,double precision,II类/沉水植被/耕地面积,遥感反演结果表（合并版）,,column_comment 'II类/沉水植被/耕地面积' 业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,l3_area,double precision,III类/水华/园地面积,遥感反演结果表（合并版）,,column_comment 'III类/水华/园地面积' 业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,l4_area,double precision,IV类/水体/林地面积,遥感反演结果表（合并版）,,column_comment 'IV类/水体/林地面积' 业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,l5_area,double precision,V类/水体面积,遥感反演结果表（合并版）,,column_comment 'V类/水体面积' 业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,l6_area,double precision,劣V类/建设用地面积,遥感反演结果表（合并版）,,column_comment '劣V类/建设用地面积' 业务含义清晰。表注释已补齐。,suggest_possible_limited_training,字段注释业务语义完整。表注释已补齐，原 missing_table_comment 风险已解除。可纳入训练。,,
wm_raster_inversion,service_url,text,服务地址,遥感反演结果表（合并版）,very_short_comment,column_comment '服务地址' 仅4字，过于通用。无法区分是 WMS 服务地址、WFS 服务地址、还是其他类型的服务地址。表注释已补齐。,suggest_hold_for_business_review,注释过于通用，无法帮助模型理解该字段在遥感反演表中的具体含义。建议业务方确认后补充更具体的注释（如 'WMS 瓦片服务地址'）。,,
wm_raster_inversion,data_time,timestamp without time zone,数据日期,遥感反演结果表（合并版）,time_like_field | very_short_comment,column_comment '数据日期' 仅4字，过于通用。无法区分是反演数据的采集日期、处理日期、还是影像的拍摄日期。表注释已补齐。,suggest_hold_for_business_review,注释过于通用，无法帮助模型理解该时间字段的精确业务含义。建议业务方确认后补充更具体的注释（如 '遥感影像拍摄日期'）。,,
