table_name,column_name,data_type,column_comment,table_comment,training_status,risk_level,reason
ad_dict,row_id,bigint,ROW_ID,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,list_type,character varying,列表类型,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,list_type_desc,character varying,列表描述,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,item_code,character varying,列表项代码,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,item_name,character varying,列表项名称,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,taxis_no,integer,排序码,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,origin_flag,character,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,origin_app,character varying,数据来源应用的代码,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
ad_dict,modification_num,integer,记录修改次数,数据字典,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
cf_auto_build_flag,manual_auto,character,0 手动处理、1 自动处理,主键id,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,span_value5,double precision,氨氮仪器跨度值,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,check_value5,double precision,氨氮零点/跨度核查数据,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,standard_value5,double precision,氨氮标准样浓度,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,monitor_time5,timestamp without time zone,氨氮监测时间,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
