schema_name,table_name,column_name,data_type,current_comment,candidate_comment,confidence,grade,evidence,source_rule,sample_hint,risk_reason
public,_stg_yichang_river_counts,layer_inserted,integer,,图层插入计数,low,C_hold,表域: staging; 来源: domain_staging_counts,domain_staging_counts,,临时统计表，注释基于字段名推断，业务方确认后补齐
public,_stg_yichang_river_counts,layer_updated,integer,,图层更新计数,low,C_hold,表域: staging; 来源: domain_staging_counts,domain_staging_counts,,临时统计表，注释基于字段名推断，业务方确认后补齐
public,_stg_yichang_river_counts,asset_inserted,integer,,资产插入计数,low,C_hold,表域: staging; 来源: domain_staging_counts,domain_staging_counts,,临时统计表，注释基于字段名推断，业务方确认后补齐
public,_stg_yichang_river_counts,asset_updated,integer,,资产更新计数,low,C_hold,表域: staging; 来源: domain_staging_counts,domain_staging_counts,,临时统计表，注释基于字段名推断，业务方确认后补齐
public,_stg_yichang_river_counts,skipped,integer,,跳过计数,low,C_hold,表域: staging; 来源: domain_staging_counts,domain_staging_counts,,临时统计表，注释基于字段名推断，业务方确认后补齐
public,_stg_yichang_river_import,gid,integer,,地理要素唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_import,OBJECTID,"numeric(18,0)",,对象唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_import,Nextdown,"numeric(18,0)",,下游河流ID,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,MAINRIVID,"numeric(18,0)",,干流ID,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Hydrocount,"numeric(18,0)",,水文计数,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Rclass,"numeric(18,0)",,河流类别编码,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Rlenth,"numeric(23,15)",,河流长度,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Hydrolenth,"numeric(23,15)",,水文计算长度,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Rcatch,"numeric(23,15)",,汇水面积,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,TCatch,"numeric(23,15)",,总汇水面积,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Rname,character varying(80),,河流名称,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Shape_Leng,"numeric(23,15)",,要素长度,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,RiverID,"numeric(18,0)",,河流ID,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,RclassDISP,"numeric(18,0)",,河流类别显示编码,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,OSMratio,"numeric(23,15)",,OSM匹配比例,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,GRITratio,"numeric(23,15)",,GRIT匹配比例,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,Hydroratio,"numeric(23,15)",,水文匹配比例,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,NameList,character varying(80),,河流名称列表,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,OrignCNT,character varying(80),,原始数据来源,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,SEG_ID,"numeric(18,0)",,分段ID,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,LEN,"numeric(23,15)",,分段长度,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,FLIPPED,"numeric(18,0)",,流向是否翻转,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,FROM_Z,"numeric(23,15)",,起点高程,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,TO_Z,"numeric(23,15)",,终点高程,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,STR_ORD,"numeric(18,0)",,Strahler河流分级,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,SHR_ORD,"numeric(18,0)",,Shreve河流分级,medium,B_review,表域: staging; 来源: domain_staging_river_import,domain_staging_river_import,,临时导入表，基于原始字段名推断，建议确认
public,_stg_yichang_river_import,geom,"geometry(MultiLineString,4326)",,空间几何数据,high,A_auto_safe,表域: staging; 来源: standard_geom_field,standard_geom_field,,
public,_stg_yichang_river_std,gid,integer,,地理要素唯一标识,high,A_auto_safe,表域: staging; 来源: standard_id_field,standard_id_field,,
public,_stg_yichang_river_std,river_code,text,,河流编码,high,A_auto_safe,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,
public,_stg_yichang_river_std,river_name,text,,河流名称,high,A_auto_safe,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,
public,_stg_yichang_river_std,next_down,bigint,,下游河流ID,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,_stg_yichang_river_std,river_class,text,,河流类别,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,_stg_yichang_river_std,length_km,numeric,,河流长度（公里）,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,_stg_yichang_river_std,from_z,numeric,,起点高程,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,_stg_yichang_river_std,to_z,numeric,,终点高程,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,_stg_yichang_river_std,geom,"geometry(MultiLineString,4326)",,空间几何数据,high,A_auto_safe,表域: staging; 来源: standard_geom_field,standard_geom_field,,
public,_stg_yichang_river_std,metadata_json,jsonb,,元数据JSON,medium,B_review,表域: staging; 来源: domain_staging_river_std,domain_staging_river_std,,标准化表，基于同名字段推断
public,ad_dict,create_time,timestamp without time zone,,创建时间,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,update_time,timestamp without time zone,,修改时间,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,del_flag,character(1),,删除标志：0-正常，1-已删除,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,create_by,bigint,,创建人,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,ad_dict,update_by,bigint,,修改人,high,A_auto_safe,表域: admin_dict; 来源: standard_audit_field,standard_audit_field,,
public,day_quality_setting,span_value,double precision,,水质变化幅值,medium,B_review,表域: quality_setting; 来源: domain_quality_setting,domain_quality_setting,,基于字段名推断，需水质评价业务方确认
public,day_quality_setting,zero_standard_value,double precision,,零标准值,low,C_hold,表域: quality_setting; 来源: domain_quality_setting,domain_quality_setting,,基于字段名推断，需水质评价业务方确认
