table_name,column_name,data_type,column_comment,table_comment,suspicion_category,reason,recommended_review_action
ad_dict,row_id,bigint,ROW_ID,数据字典,id_like_field,ID 类字段，注释可能过于通用: 字段名 'row_id' 注释为 'ROW_ID',人工确认注释是否准确描述该字段业务含义
ad_dict,list_type,character varying,列表类型,数据字典,code_like_field,类型类字段，注释可能过于通用: 字段名 'list_type' 注释为 '列表类型',人工确认注释是否准确描述该字段业务含义
ad_dict,list_type,character varying,列表类型,数据字典,very_short_comment,注释极短 (4字): '列表类型',确认该注释是否足以让模型理解字段含义
ad_dict,list_type_desc,character varying,列表描述,数据字典,very_short_comment,注释极短 (4字): '列表描述',确认该注释是否足以让模型理解字段含义
ad_dict,item_code,character varying,列表项代码,数据字典,code_like_field,编码类字段，注释可能过于通用: 字段名 'item_code' 注释为 '列表项代码',人工确认注释是否准确描述该字段业务含义
ad_dict,item_code,character varying,列表项代码,数据字典,very_short_comment,注释极短 (5字): '列表项代码',确认该注释是否足以让模型理解字段含义
ad_dict,item_name,character varying,列表项名称,数据字典,name_like_field,名称类字段，注释可能过于通用: 字段名 'item_name' 注释为 '列表项名称',人工确认注释是否准确描述该字段业务含义
ad_dict,item_name,character varying,列表项名称,数据字典,very_short_comment,注释极短 (5字): '列表项名称',确认该注释是否足以让模型理解字段含义
ad_dict,taxis_no,integer,排序码,数据字典,very_short_comment,注释极短 (3字): '排序码',确认该注释是否足以让模型理解字段含义
ad_dict,origin_flag,character,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,数据字典,status_like_field,标记类字段，注释可能过于通用: 字段名 'origin_flag' 注释为 '数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。',人工确认注释是否准确描述该字段业务含义
day_quality_setting,audit_by,bigint,审核人,日质控设置,very_short_comment,注释极短 (3字): '审核人',确认该注释是否足以让模型理解字段含义
day_quality_setting,audit_time,timestamp without time zone,审核时间,日质控设置,time_like_field,时间类字段，注释可能过于通用: 字段名 'audit_time' 注释为 '审核时间',人工确认注释是否准确描述该字段业务含义
day_quality_setting,audit_time,timestamp without time zone,审核时间,日质控设置,very_short_comment,注释极短 (4字): '审核时间',确认该注释是否足以让模型理解字段含义
dc_survey_app,version_code,character varying,APP版本号：V1.0.0、1.0.0、100,APP安装包版本管理表,code_like_field,编码类字段，注释可能过于通用: 字段名 'version_code' 注释为 'APP版本号：V1.0.0、1.0.0、100',人工确认注释是否准确描述该字段业务含义
dc_survey_app,version_name,character varying,APP版本名称: 如果有多个APP保证每一类名称一致,APP安装包版本管理表,name_like_field,名称类字段，注释可能过于通用: 字段名 'version_name' 注释为 'APP版本名称: 如果有多个APP保证每一类名称一致',人工确认注释是否准确描述该字段业务含义
dc_survey_app,update_type,smallint,更新类型：1-强制更新，2-可选更新,APP安装包版本管理表,code_like_field,类型类字段，注释可能过于通用: 字段名 'update_type' 注释为 '更新类型：1-强制更新，2-可选更新',人工确认注释是否准确描述该字段业务含义
dc_survey_app,update_log,text,更新日志,APP安装包版本管理表,very_short_comment,注释极短 (4字): '更新日志',确认该注释是否足以让模型理解字段含义
dc_survey_app,platform_type,smallint,平台类型：1-Android，2-iOS,APP安装包版本管理表,code_like_field,类型类字段，注释可能过于通用: 字段名 'platform_type' 注释为 '平台类型：1-Android，2-iOS',人工确认注释是否准确描述该字段业务含义
dc_survey_info,watershed_partition_id,bigint,流域分区ID,巡回调查-调查后的核查信息,id_like_field,ID 类字段，注释可能过于通用: 字段名 'watershed_partition_id' 注释为 '流域分区ID',人工确认注释是否准确描述该字段业务含义
dc_survey_info,upload_time,character varying,上传时间：每次上传都记录时间  20251128,巡回调查-调查后的核查信息,time_like_field,时间类字段，注释可能过于通用: 字段名 'upload_time' 注释为 '上传时间：每次上传都记录时间  20251128',人工确认注释是否准确描述该字段业务含义
dc_survey_info,lon,double precision,经度,巡回调查-调查后的核查信息,very_short_comment,注释极短 (2字): '经度',确认该注释是否足以让模型理解字段含义
dc_survey_info,lat,double precision,纬度,巡回调查-调查后的核查信息,very_short_comment,注释极短 (2字): '纬度',确认该注释是否足以让模型理解字段含义
dc_survey_info,survey_type,smallint,调查类型：0-excel调查信息、1-word小结,巡回调查-调查后的核查信息,code_like_field,类型类字段，注释可能过于通用: 字段名 'survey_type' 注释为 '调查类型：0-excel调查信息、1-word小结',人工确认注释是否准确描述该字段业务含义
dc_survey_info,image_path_2,character varying,图片2,巡回调查-调查后的核查信息,very_short_comment,注释极短 (3字): '图片2',确认该注释是否足以让模型理解字段含义
dc_survey_info,image_path_3,character varying,图片3,巡回调查-调查后的核查信息,very_short_comment,注释极短 (3字): '图片3',确认该注释是否足以让模型理解字段含义
dc_survey_offline_sync,sync_status,integer,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败,离线同步任务表,status_like_field,状态类字段，注释可能过于通用: 字段名 'sync_status' 注释为 '同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_sync,total_steps,integer,总步骤数,离线同步任务表,very_short_comment,注释极短 (4字): '总步骤数',确认该注释是否足以让模型理解字段含义
dc_survey_offline_sync,current_step,integer,当前步骤,离线同步任务表,very_short_comment,注释极短 (4字): '当前步骤',确认该注释是否足以让模型理解字段含义
dc_survey_offline_sync,sync_start_time,timestamp without time zone,同步开始时间,离线同步任务表,time_like_field,时间类字段，注释可能过于通用: 字段名 'sync_start_time' 注释为 '同步开始时间',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_sync,sync_end_time,timestamp without time zone,同步结束时间,离线同步任务表,time_like_field,时间类字段，注释可能过于通用: 字段名 'sync_end_time' 注释为 '同步结束时间',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_sync,error_message,text,错误信息,离线同步任务表,very_short_comment,注释极短 (4字): '错误信息',确认该注释是否足以让模型理解字段含义
dc_survey_offline_upload,file_type,character varying,文件类型：json-JSON数据文件，image-图片文件,文件上传缓存表 - 支持断点续传和本地文件缓存,code_like_field,类型类字段，注释可能过于通用: 字段名 'file_type' 注释为 '文件类型：json-JSON数据文件，image-图片文件',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_upload,file_name,character varying,文件名,文件上传缓存表 - 支持断点续传和本地文件缓存,name_like_field,名称类字段，注释可能过于通用: 字段名 'file_name' 注释为 '文件名',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_upload,file_name,character varying,文件名,文件上传缓存表 - 支持断点续传和本地文件缓存,very_short_comment,注释极短 (3字): '文件名',确认该注释是否足以让模型理解字段含义
dc_survey_offline_upload,total_chunks,integer,总分块数,文件上传缓存表 - 支持断点续传和本地文件缓存,very_short_comment,注释极短 (4字): '总分块数',确认该注释是否足以让模型理解字段含义
dc_survey_offline_upload,upload_status,smallint,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败,文件上传缓存表 - 支持断点续传和本地文件缓存,status_like_field,状态类字段，注释可能过于通用: 字段名 'upload_status' 注释为 '上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败',人工确认注释是否准确描述该字段业务含义
dc_survey_offline_upload,clean_flag,character,本地文件清理标记：0 未删除、1 已删除,文件上传缓存表 - 支持断点续传和本地文件缓存,status_like_field,标记类字段，注释可能过于通用: 字段名 'clean_flag' 注释为 '本地文件清理标记：0 未删除、1 已删除',人工确认注释是否准确描述该字段业务含义
dc_survey_task,survey_time,character varying,巡查时间: yyyyMMdd,巡查任务表,time_like_field,时间类字段，注释可能过于通用: 字段名 'survey_time' 注释为 '巡查时间: yyyyMMdd',人工确认注释是否准确描述该字段业务含义
dc_survey_task,watershed_partition_id,bigint,流域分区ID,巡查任务表,id_like_field,ID 类字段，注释可能过于通用: 字段名 'watershed_partition_id' 注释为 '流域分区ID',人工确认注释是否准确描述该字段业务含义
dc_survey_task,point_count,integer,点位数量,巡查任务表,very_short_comment,注释极短 (4字): '点位数量',确认该注释是否足以让模型理解字段含义
dc_survey_task,image_count,integer,照片数量,巡查任务表,very_short_comment,注释极短 (4字): '照片数量',确认该注释是否足以让模型理解字段含义
dc_survey_task,update_name,character varying,更新人名称：当前巡查人员,巡查任务表,name_like_field,名称类字段，注释可能过于通用: 字段名 'update_name' 注释为 '更新人名称：当前巡查人员',人工确认注释是否准确描述该字段业务含义
dc_survey_task_instance,start_time,timestamp without time zone,执行开始时间,任务实例：记录轨迹、点位的添加,time_like_field,时间类字段，注释可能过于通用: 字段名 'start_time' 注释为 '执行开始时间',人工确认注释是否准确描述该字段业务含义
dc_survey_task_instance,end_time,timestamp without time zone,执行结束时间,任务实例：记录轨迹、点位的添加,time_like_field,时间类字段，注释可能过于通用: 字段名 'end_time' 注释为 '执行结束时间',人工确认注释是否准确描述该字段业务含义
